study,script,run,final_equity,wealth_x,cagr,oos_cagr,sharpe,oos_sharpe,maxdd,oos_maxdd,trades,adds,null_standing,verdict
5,05_caprank_test.py,RANKVOL_COV,608947.59,6.089,0.1985,0.194,0.948,0.975,-0.3864,-0.1793,709,,,covered-pair check: volume wins
5,05_caprank_test.py,SRANK,604759.47,6.048,0.1977,0.1464,0.975,0.792,-0.3061,-0.2009,736,,,"DEAD: wins full decade, fails OOS"
5,05_caprank_test.py,RANKVOL,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,,,incumbent re-run; reconciled exact
5,05_caprank_test.py,COMPOSITE_COV,468636.19,4.686,0.1675,0.1164,0.893,0.697,-0.3346,-0.2086,716,,,covered-pair check: composite loses
5,05_caprank_test.py,COMPOSITE,466424.27,4.664,0.1669,0.1164,0.893,0.697,-0.3346,-0.2086,717,,,DEAD: loses both windows
5,05_caprank_test.py,CAPRANK_COV,459815.96,4.598,0.1652,0.0923,0.894,0.568,-0.3023,-0.2078,732,,,covered-pair check: cap loses
5,05_caprank_test.py,CAPRANK,420519.99,4.205,0.1549,0.0856,0.841,0.537,-0.3023,-0.2263,713,,,DEAD: loses both windows + covered pair
6,06_capacity_test.py,ADDS_BENCH_N10,754818.05,7.548,0.2246,0.2196,1.043,1.039,-0.3621,-0.2081,583,145,p92 (n=100),beats baseline; p92 of 100-seed null; engine = 2 trades
6,06_capacity_test.py,ADDS_DEEP_BENCH_N10,589561.04,5.896,0.1946,0.2215,0.943,1.092,-0.3866,-0.1789,720,8,,8 adds -- noise
6,06_capacity_test.py,RANKVOL_BENCH_N10,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,0,,incumbent re-run; reconciled exact
6,06_capacity_test.py,ALL_EW_BENCH,411519.26,4.115,0.1524,0.0697,0.759,0.441,-0.4233,-0.2564,3904,0,,DEAD: gives back half the alpha
6,06_capacity_test.py,SPY,339956.69,3.4,0.1305,0.0951,0.77,0.594,-0.341,-0.2536,0,0,,control
6,06_capacity_test.py,RANKVOL_BENCH_N50,339007.86,3.39,0.1302,0.0613,0.771,0.458,-0.3774,-0.1951,3092,0,,DEAD: 2% slots collapse to SPY +/- $1k
6,06_capacity_test.py,RSP,253931.38,2.539,0.0979,0.0418,0.597,0.327,-0.3963,-0.2248,0,0,,control
6,06_capacity_test.py,ALL_EW_ALL,242139.55,2.421,0.0927,0.0328,0.548,0.27,-0.4332,-0.2361,17806,0,,DEAD: loses to RSP after costs
7,07_c2_overlay_test.py,LEAN_SIZER,585395.14,5.854,0.1938,0.2295,0.906,1.031,-0.3806,-0.1921,716,,= p95 tie (16-class null),DEAD: ties own permutation null; wrong map earned more
7,07_c2_overlay_test.py,RANKVOL_BENCH_N10,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,,,incumbent re-run; reconciled exact
7,07_c2_overlay_test.py,LEAN_TIEBREAK,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,,,EMPTY: identical to baseline (entries cell-pinned)
7,07_c2_overlay_test.py,LEAN_SELECT,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,,,EMPTY: identical to baseline (entries cell-pinned)
7,07_c2_overlay_test.py,LEAN_FILTER,505052.49,5.051,0.1763,0.1974,0.865,0.969,-0.3866,-0.1908,717,,,DEAD: scrambled maps veto better
8,08_adds_settle.py,ADDS,754818.05,7.548,0.2246,0.2196,1.043,1.039,-0.3621,-0.2081,583,145,p94.4 (n=500),SETTLED DEAD: p94.4 vs p95 at 500 seeds
8,08_adds_settle.py,ADDS_LAST,687698.08,6.877,0.2132,0.2091,0.994,1.023,-0.4164,-0.1909,667,73,p91.0 (n=200),SETTLED DEAD: p91.0 vs its 200-seed null
8,08_adds_settle.py,ADDS_HALF,657979.98,6.58,0.2079,0.1925,0.999,0.96,-0.3473,-0.1751,609,216,p85.0 (n=200),SETTLED DEAD: fails OOS; add ledger net -$38k
8,08_adds_settle.py,RANKVOL,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,0,,incumbent re-run; reconciled exact
9,09_asym_test.py,ADDS,754818.05,7.548,0.2246,0.2196,1.043,1.039,-0.3621,-0.2081,583,145,,08 re-run exact; H context: top-2 share 10.9%; deployed edge is mean-driven (median flat)
9,09_asym_test.py,ADDS_LEAN_SIZER,589300.66,5.893,0.1946,0.145,0.903,0.705,-0.3603,-0.1993,489,187,p49.5/p36.0 (N1/N2 n=200),DEAD: at random's median; scrambled maps size BETTER; fails OOS
9,09_asym_test.py,ADDS_LEAN_SELECT,588155.03,5.882,0.1944,0.1974,0.932,0.969,-0.3866,-0.1908,710,10,p78.0/p71.0 (N1/N2 n=200),DEAD: killed at screen; lean>0 near-empty -- 10 adds; none after 2018-11
9,09_asym_test.py,RANKVOL,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,0,,incumbent re-run; reconciled exact (6th)
9,09_asym_test.py,ADDS_LEAN_GATE,551211.26,5.512,0.1866,0.1974,0.903,0.969,-0.3866,-0.1908,720,1,p31.5/p38.5 (N1/N2 n=200),DEAD: gate fired once in a decade
10,10_area_test.py,AREA_EP_f5,,,,,,,,,,,NW-t -1.44 boot p.142,DEAD: episode area carries no 5d signal (mean -20.8 bps)
10,10_area_test.py,AREA_EP_f21,,,,,,,,,,,NW-t +0.06 boot p.951,DEAD: episode area carries no 21d signal
10,10_area_test.py,AREA_RW_f5,,,,,,,,,,,NW-t -3.13 boot p.0015 (bars 2.50/.0127); vsZ t -1.33 vsREV t -1.89 (dom bar +2.0),"KNOWN-EFFECT RECOVERY: -39.1 bps/mo INVERTED (deep area -> continued weakness, not bounce); robust (best-month, halves, calm -27); fails novelty vs z/reversal; NOTE benchmarks themselves null (Z t-1.23, REV t-0.29)"
10,10_area_test.py,AREA_RW_f21,,,,,,,,,,,NW-t -0.17 boot p.875,DEAD: no 21d signal; effect is a ~1-week phenomenon
11,11_margin_bridge.py,MARGIN_BRIDGE,971305.16,9.713,0.2559,0.1964,0.951,0.824,-0.4961,-0.2336,943,,"p96.6 of 500-seed random-name null (p95 $912,359); wires clean; 9 forced de-lev sales; bridged=regular quality boot p.49",DEAD: fails the OOS window under the registered forced-liquidation remedy (oos_wealth 2.042 vs 2.049 strict); full-window pass + null pass reach no tier; funding/capacity look 1 consumed
11,11_margin_bridge.py,MARGIN_BRIDGE_EFFR400,945641.48,9.456,0.2526,0.2004,0.94,0.836,-0.4973,-0.234,946,,,funding-stress sensitivity (EFFR+400bps); not verdict-bearing
11,11_margin_bridge.py,BASELINE,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,,,incumbent re-run through the study-11 engine; reconciled exact (7th)
11,11_margin_bridge.py,BRIDGE_SPY_DISCLOSURE,440583.01,4.406,0.1603,0.088,0.774,0.492,-0.3715,-0.2623,911,,,exhibit only (not verdict-bearing): SPY at the same admissions/financing LOSES to the unlevered incumbent -- leverage timing alone is negative
12,12_one_book.py,ONE_BOOK,1060456.71,10.605,0.2671,0.1898,0.996,0.791,-0.406,-0.2362,741,214,"3 anchors reproduced to the cent (BASELINE/ADDS/BRIDGE); margin-safety flags clean; 669 bridges; 201 margin-financed adds; interest $42,704",ENGINEERING RUN (not a registered study; no verdict): the deployed one-book config -- RANKVOL + adds into weakness + 30% margin; oos_wealth 1.997 vs incumbent 2.049; production engine verified
12,12_one_book.py,BRIDGE_ONLY,971305.16,9.713,0.2559,0.1964,0.951,0.824,-0.4961,-0.2336,943,0,,"anchor: study 11 bridge config, reproduced to the cent"
12,12_one_book.py,ADDS_ONLY,754818.05,7.548,0.2246,0.2196,1.043,1.039,-0.3621,-0.2081,583,145,,"anchor: study 06/08 adds config, reproduced to the cent"
12,12_one_book.py,BASELINE,552887.57,5.529,0.187,0.1974,0.904,0.969,-0.3866,-0.1908,721,0,,"anchor: the incumbent, reproduced to the cent"
