seed,wealth,cagr,sharpe,maxdd,bps_per_slot_day,bps_raw,round_trips,win_rate,med_trade_ret
0,2.9616,0.109,0.611,-0.4024,4.22,4.2165546063850154,723,0.719,0.0251
1,3.4965,0.1267,0.689,-0.3938,4.85,4.847516791106946,792,0.73,0.0242
2,2.1685,0.0766,0.471,-0.3638,3.01,3.010845559841086,674,0.703,0.0245
3,2.5169,0.092,0.537,-0.3621,3.59,3.5873893715598677,690,0.709,0.0223
4,3.4422,0.125,0.681,-0.3721,4.81,4.806818029283926,696,0.713,0.0249
5,3.2321,0.1183,0.686,-0.3837,4.57,4.570049850728663,623,0.713,0.0262
6,2.0188,0.0693,0.522,-0.2366,2.75,2.7490805089090804,487,0.696,0.0233
7,2.5125,0.0918,0.562,-0.3639,3.58,3.581376534219718,665,0.698,0.0215
8,2.5205,0.0921,0.571,-0.345,3.6,3.601976041128546,641,0.704,0.0234
9,2.2064,0.0783,0.507,-0.2657,3.09,3.0871446762807984,600,0.688,0.0235
10,1.5886,0.0451,0.337,-0.3247,1.8,1.803786215261694,620,0.671,0.0193
11,3.0487,0.1121,0.63,-0.416,4.33,4.333918533147574,715,0.706,0.0233
12,2.693,0.099,0.575,-0.3693,3.85,3.854006831355214,693,0.69,0.0213
13,2.657,0.0976,0.544,-0.4633,3.8,3.8011775873340827,685,0.68,0.0204
14,2.5206,0.0921,0.574,-0.3539,3.6,3.59913188993092,656,0.695,0.0236
15,2.3165,0.0834,0.505,-0.4416,3.26,3.2634071166591725,682,0.716,0.0231
16,2.8682,0.1056,0.618,-0.3741,4.1,4.096611563862189,696,0.69,0.022
17,2.3589,0.0852,0.507,-0.3807,3.33,3.3346943976940744,706,0.698,0.0224
18,1.8237,0.0589,0.39,-0.4074,2.34,2.336451303465466,692,0.698,0.0237
19,2.4722,0.0901,0.553,-0.3254,3.52,3.523949941367339,638,0.679,0.0212
20,2.7549,0.1014,0.571,-0.3719,3.94,3.9392664074107895,697,0.683,0.0203
21,1.4687,0.0373,0.28,-0.4109,1.5,1.496488470023167,659,0.678,0.0217
22,2.3053,0.0829,0.505,-0.3856,3.25,3.2518092178378737,647,0.703,0.0263
23,2.1407,0.0752,0.47,-0.3996,2.97,2.9655066614048953,625,0.696,0.025
24,3.7067,0.133,0.834,-0.2504,5.1,5.101221194008333,619,0.725,0.0257
25,3.8191,0.1362,0.751,-0.4118,5.2,5.2043787149639416,696,0.72,0.0264
26,1.3113,0.0262,0.229,-0.519,1.05,1.0546418487355689,686,0.672,0.0209
27,2.2707,0.0813,0.538,-0.3531,3.2,3.1989646705661823,589,0.706,0.0208
28,2.7508,0.1012,0.581,-0.402,3.93,3.934223523312377,682,0.695,0.0247
29,2.6274,0.0964,0.568,-0.3571,3.75,3.753497361760948,714,0.738,0.0233
30,2.2897,0.0822,0.492,-0.4337,3.22,3.2208478863616046,691,0.725,0.0245
31,1.9134,0.0638,0.452,-0.3569,2.54,2.5353144201579476,543,0.707,0.0269
32,2.8692,0.1057,0.653,-0.257,4.11,4.108004932943568,627,0.697,0.023
33,3.5732,0.129,0.705,-0.3733,4.95,4.949477705022426,717,0.727,0.0249
34,3.4754,0.1261,0.715,-0.4193,4.85,4.846541245418477,673,0.719,0.0249
35,2.072,0.0719,0.477,-0.3311,2.84,2.837022041087366,652,0.693,0.0242
36,2.3533,0.085,0.516,-0.3395,3.33,3.329105097077962,677,0.715,0.0238
37,2.4157,0.0877,0.527,-0.3993,3.43,3.4276255194860084,674,0.69,0.0245
38,2.812,0.1036,0.602,-0.3285,4.01,4.014450941193289,724,0.711,0.0236
39,1.9782,0.0672,0.468,-0.3526,2.66,2.6639562563113524,560,0.684,0.0202
40,4.0781,0.1434,0.759,-0.352,5.46,5.460685122074762,740,0.714,0.0264
41,2.5689,0.0941,0.561,-0.3208,3.67,3.665399358823918,715,0.701,0.0234
42,1.7935,0.0573,0.373,-0.4653,2.27,2.2724897303406952,700,0.69,0.0205
43,1.7765,0.0563,0.373,-0.477,2.24,2.2365666883189603,665,0.704,0.0222
44,2.0783,0.0722,0.46,-0.4387,2.85,2.848606238279106,643,0.705,0.0235
45,2.5044,0.0914,0.618,-0.2684,3.58,3.575402198209428,614,0.723,0.0248
46,2.971,0.1094,0.691,-0.3025,4.25,4.246023146381626,569,0.708,0.0245
47,2.8395,0.1046,0.603,-0.3859,4.06,4.056073742318352,715,0.708,0.025
48,2.2652,0.0811,0.488,-0.4426,3.18,3.1837494131512103,624,0.683,0.0221
49,3.2064,0.1175,0.676,-0.3735,4.53,4.531752685948976,683,0.731,0.0262
50,2.6341,0.0967,0.543,-0.4198,3.77,3.766097013175376,713,0.701,0.0233
51,1.8146,0.0584,0.379,-0.4252,2.31,2.313836837221316,696,0.684,0.024
52,2.703,0.0994,0.553,-0.4956,3.86,3.8640019778445005,711,0.7,0.0255
53,2.751,0.1013,0.634,-0.2896,3.94,3.939229484541064,624,0.724,0.0257
54,1.3881,0.0318,0.254,-0.4722,1.27,1.2744712945547971,695,0.689,0.0194
