variant,ticker,entry_date,days,last_date,exit_date,exit_reason,trade_ret
SCORE_RS,TGT,2016-01-05,3,2016-01-06,2016-01-07,rollback,-0.002169785733658669
SCORE_RS,EQIX,2016-01-06,3,2016-01-07,2016-01-08,rollback,0.016553197169937306
SCORE_RS,EQT,2016-01-08,3,2016-01-11,2016-01-12,rollback,0.010162494231859664
SCORE_RS,AAP,2016-01-05,21,2016-02-02,2016-02-03,rollback,-0.005054151624548586
SCORE_RS,GPS,2016-01-06,20,2016-02-02,2016-02-03,rollback,-0.055191045928213
SCORE_RS,CLX,2016-01-12,16,2016-02-02,2016-02-03,rollback,0.013190758663752966
SCORE_RS,DLTR,2016-01-05,22,2016-02-03,2016-02-04,rollback,0.0008830579033687336
SCORE_RS,CAT,2016-02-04,6,2016-02-10,2016-02-11,rollback,-0.04229559748427658
SCORE_RS,DOW,2016-02-03,8,2016-02-11,2016-02-12,rollback,-0.009840367373715186
SCORE_RS,NEM,2016-01-07,34,2016-02-24,2016-02-25,rollback,0.34627659574468006
SCORE_RS,RAI,2016-02-12,11,2016-02-26,2016-02-29,rollback,0.034866927996699326
SCORE_RS,HAR,2016-01-06,38,2016-02-29,2016-03-01,rollback,-0.17305446438050753
SCORE_RS,AON,2016-02-04,18,2016-02-29,2016-03-01,rollback,0.09765580331618118
SCORE_RS,BCR,2016-02-11,13,2016-02-29,2016-03-01,rollback,0.04288025889967595
SCORE_RS,AIZ,2016-03-02,5,2016-03-07,2016-03-08,rollback,-0.004385363848156798
SCORE_RS,COL,2016-01-06,44,2016-03-08,2016-03-09,rollback,-0.03475324109380118
SCORE_RS,SIG,2016-03-01,7,2016-03-08,2016-03-09,rollback,-0.005155105363118362
SCORE_RS,ANDV,2016-01-05,50,2016-03-15,2016-03-16,rollback,-0.18730129044323884
SCORE_RS,PRGO,2016-03-10,5,2016-03-15,2016-03-16,rollback,0.016495157384987635
SCORE_RS,SO,2016-03-09,11,2016-03-22,2016-03-23,rollback,0.023809523809523503
