n_slots,bench,seed,final_equity,wealth_x,cagr,sharpe,maxdd,oos_wealth_x,oos_cagr,oos_sharpe,oos_maxdd,pct_days_invested,avg_positions,trades,win_rate,med_trade_ret
5,0,0,229241.12,2.292,0.0867,0.493,-0.3208,0.824,-0.0474,-0.129,-0.3208,100.0,4.98,371,0.698,0.0226
5,0,1,468843.6,4.688,0.1675,0.824,-0.3178,1.346,0.0776,0.47,-0.2649,100.0,4.98,375,0.728,0.0233
5,0,2,193097.28,1.931,0.0682,0.417,-0.3983,0.91,-0.0235,-0.007,-0.3178,100.0,4.98,347,0.709,0.0197
5,0,3,136683.54,1.367,0.0318,0.252,-0.4606,0.832,-0.0451,-0.099,-0.4223,100.0,4.98,341,0.677,0.0194
5,0,4,207494.46,2.075,0.0759,0.451,-0.369,0.688,-0.0897,-0.373,-0.3681,100.0,4.98,332,0.687,0.0212
5,0,5,200834.14,2.008,0.0724,0.424,-0.4468,1.076,0.0185,0.192,-0.2441,100.0,4.98,382,0.702,0.0231
5,0,6,252696.59,2.527,0.0974,0.542,-0.3554,1.076,0.0186,0.192,-0.2289,100.0,4.98,362,0.702,0.0229
5,0,7,117358.36,1.174,0.0162,0.181,-0.4375,0.708,-0.0831,-0.333,-0.4262,100.0,4.98,376,0.665,0.0195
5,0,8,245889.62,2.459,0.0944,0.511,-0.3586,0.985,-0.0037,0.091,-0.3586,100.0,4.98,374,0.676,0.0212
5,0,9,194351.35,1.944,0.0689,0.41,-0.417,0.902,-0.0256,-0.018,-0.2833,100.0,4.97,377,0.706,0.0238
5,0,10,387699.3,3.877,0.1455,0.732,-0.3177,1.568,0.1196,0.649,-0.1961,100.0,4.98,377,0.706,0.0228
5,0,11,308390.24,3.084,0.1195,0.641,-0.4486,1.314,0.0711,0.45,-0.2161,100.0,4.98,364,0.712,0.0236
5,0,12,300367.18,3.004,0.1166,0.648,-0.2991,1.027,0.0068,0.125,-0.196,100.0,4.98,357,0.7,0.022
5,0,13,348689.39,3.487,0.1334,0.701,-0.2996,1.177,0.0417,0.301,-0.2962,100.0,4.98,345,0.696,0.0249
5,0,14,158919.71,1.589,0.0475,0.325,-0.4567,0.926,-0.0192,-0.006,-0.3381,100.0,4.98,364,0.679,0.0178
