run,ticker,entry_date,entry_px,shares,exit_date,exit_px,reason,last_date
SPY,SPY,2016-01-04,200.49,498.5287,,681.92,open,2025-12-31
RSP,RSP,2016-01-04,75.4,1325.5971,,191.56,open,2025-12-31
SCORE_RS_N5,TGT,2016-01-05,73.74,271.0064,2016-01-07,73.58,rollback,2016-01-06
SCORE_RS_N5,AAP,2016-01-05,152.35,131.2111,2016-02-03,151.58,rollback,2016-02-02
SCORE_RS_N5,DLTR,2016-01-05,79.27,252.1258,2016-02-04,79.34,rollback,2016-02-03
SCORE_RS_N5,DOW,2016-02-03,45.73,413.5444,2016-02-12,45.28,rollback,2016-02-11
SCORE_RS_N5,NEM,2016-01-07,18.8,1041.1242,2016-02-25,25.31,rollback,2016-02-24
SCORE_RS_N5,RAI,2016-02-12,48.47,404.7542,2016-02-29,50.16,rollback,2016-02-26
SCORE_RS_N5,AON,2016-02-04,87.45,220.6609,2016-03-01,95.99,rollback,2016-02-29
SCORE_RS_N5,COL,2016-01-06,91.79,215.6239,2016-03-09,88.6,rollback,2016-03-08
SCORE_RS_N5,SIG,2016-03-01,110.57,187.1768,2016-03-09,110.0,rollback,2016-03-08
SCORE_RS_N5,ANDV,2016-01-05,106.94,186.9086,2016-03-16,86.91,rollback,2016-03-15
SCORE_RS_N5,PRGO,2016-03-10,132.16,165.6944,2016-03-16,134.34,rollback,2016-03-15
SCORE_RS_N5,SO,2016-03-09,49.14,444.5341,2016-03-23,50.31,rollback,2016-03-22
SCORE_RS_N5,AMT,2016-02-25,89.27,230.8406,2016-03-24,99.4,rollback,2016-03-23
SCORE_RS_N5,APA,2016-02-29,39.49,522.8425,2016-03-24,47.01,rollback,2016-03-23
SCORE_RS_N5,NOC,2016-03-16,190.54,117.324,2016-04-11,200.66,rollback,2016-04-08
SCORE_RS_N5,CELG,2016-03-23,102.7,217.5478,2016-04-12,103.33,rollback,2016-04-11
SCORE_RS_N5,CVX,2016-04-11,96.87,234.1683,2016-04-26,102.05,rollback,2016-04-25
SCORE_RS_N5,ICE,2016-03-24,47.076,470.8359,2016-04-28,48.288,rollback,2016-04-27
SCORE_RS_N5,NBL,2016-04-12,32.53,690.2035,2016-05-04,36.06,rollback,2016-05-03
SCORE_RS_N5,EQIX,2016-04-26,326.57,70.9668,2016-05-12,342.6,rollback,2016-05-11
SCORE_RS_N5,CLX,2016-03-17,127.19,150.3916,2016-05-18,129.47,rollback,2016-05-17
SCORE_RS_N5,ARG,2016-03-24,141.68,156.4603,2016-05-20,142.95,delisted,2016-05-20
SCORE_RS_N5,CRM,2016-05-13,76.0,317.3614,2016-06-06,82.86,rollback,2016-06-03
SCORE_RS_N5,FE,2016-04-28,32.67,717.1072,2016-06-13,33.68,rollback,2016-06-10
SCORE_RS_N5,URI,2016-05-18,63.7,374.5279,2016-06-13,71.18,rollback,2016-06-10
SCORE_RS_N5,ATVI,2016-06-15,38.46,657.3218,2016-07-08,40.64,rollback,2016-07-07
SCORE_RS_N5,NEM,2016-06-06,35.3,719.6183,2016-07-13,40.64,rollback,2016-07-12
SCORE_RS_N5,WDC,2016-07-08,48.01,567.3296,2016-07-15,52.04,rollback,2016-07-14
SCORE_RS_N5,MRO,2016-05-23,12.87,1817.7034,2016-08-23,15.73,rollback,2016-08-22
SCORE_RS_N5,AABA,2016-06-15,37.43,675.4775,2016-08-24,42.5,rollback,2016-08-23
SCORE_RS_N5,APTV,2016-08-24,68.15,449.9672,2016-09-01,71.01,rollback,2016-08-31
SCORE_RS_N5,NI,2016-05-04,23.07,1020.531,2016-09-28,24.75,rollback,2016-09-27
SCORE_RS_N5,LUV,2016-09-28,38.53,705.7053,2016-10-05,39.02,rollback,2016-10-04
SCORE_RS_N5,HBAN,2016-10-05,9.93,2770.3018,2016-10-31,10.51,rollback,2016-10-28
SCORE_RS_N5,SLG,2016-09-01,113.9673,265.9948,2016-11-17,100.7729,rollback,2016-11-16
SCORE_RS_N5,MON,2016-11-17,100.68,271.3493,2016-12-09,104.91,rollback,2016-12-08
SCORE_RS_N5,PCG,2016-12-09,59.19,506.2006,2016-12-15,59.46,rollback,2016-12-14
SCORE_RS_N5,SRCL,2016-10-31,80.3,334.4356,2017-02-27,83.25,rollback,2017-02-24
SCORE_RS_N5,NLSN,2016-08-23,53.21,562.8029,2017-02-28,44.41,rollback,2017-02-27
SCORE_RS_N5,SWN,2016-07-13,14.22,1960.9254,2017-04-04,7.94,index_drop,2017-04-03
SCORE_RS_N5,CHK,2016-07-15,908.0,30.4166,2017-04-06,1238.0,rollback,2017-04-05
SCORE_RS_N5,GOOGL,2017-04-04,42.4,419.4598,2017-05-18,47.16,rollback,2017-05-17
SCORE_RS_N5,NI,2017-05-18,24.34,1057.5377,2017-06-09,25.72,rollback,2017-06-08
SCORE_RS_N5,JWN,2017-02-27,46.32,562.8514,2017-06-21,45.93,rollback,2017-06-20
SCORE_RS_N5,ADBE,2017-06-21,145.08,181.9583,2017-06-28,143.01,rollback,2017-06-27
SCORE_RS_N5,SRCL,2017-04-06,82.41,319.6492,2017-08-07,78.45,rollback,2017-08-04
SCORE_RS_N5,ILMN,2017-02-28,166.37,156.7074,2017-08-14,195.01,rollback,2017-08-11
SCORE_RS_N5,ISRG,2017-08-14,105.6667,243.2176,2017-08-28,109.1089,rollback,2017-08-25
SCORE_RS_N5,M,2017-06-28,23.21,1136.5168,2017-09-15,22.0,rollback,2017-09-14
SCORE_RS_N5,ORLY,2017-08-28,13.4993,1905.0476,2017-09-19,14.2087,rollback,2017-09-18
SCORE_RS_N5,NDAQ,2017-09-19,25.0933,1081.9289,2017-09-22,25.36,rollback,2017-09-21
SCORE_RS_N5,KEY,2017-06-09,18.38,1426.7701,2017-09-26,18.32,rollback,2017-09-25
SCORE_RS_N5,AKAM,2016-12-15,66.81,428.757,2017-10-05,50.6,rollback,2017-10-04
SCORE_RS_N5,PCAR,2017-08-07,45.6467,588.0312,2017-10-09,49.0,rollback,2017-10-06
SCORE_RS_N5,INTU,2017-10-09,144.34,192.3781,2017-11-07,153.25,rollback,2017-11-06
SCORE_RS_N5,MCK,2017-09-22,152.32,178.6497,2017-11-28,145.02,rollback,2017-11-27
SCORE_RS_N5,NLSN,2017-09-15,39.26,677.1096,2017-12-11,37.98,rollback,2017-12-08
SCORE_RS_N5,TJX,2017-09-26,37.0,746.3193,2017-12-11,36.87,rollback,2017-12-08
SCORE_RS_N5,UPS,2017-11-28,115.11,231.2651,2017-12-12,117.91,rollback,2017-12-11
SCORE_RS_N5,RRC,2017-11-07,19.21,1380.0044,2018-01-05,17.05,rollback,2018-01-04
SCORE_RS_N5,ALXN,2017-12-11,114.05,234.0126,2018-01-05,123.91,rollback,2018-01-04
SCORE_RS_N5,WU,2018-01-05,19.45,1383.6118,2018-01-18,20.21,rollback,2018-01-17
SCORE_RS_N5,VRSN,2017-12-12,114.51,233.9305,2018-01-29,114.89,rollback,2018-01-26
SCORE_RS_N5,SLG,2018-01-29,94.7613,288.5003,2018-02-02,95.6423,rollback,2018-02-01
SCORE_RS_N5,FIS,2018-01-05,95.14,282.8312,2018-02-05,100.59,rollback,2018-02-02
SCORE_RS_N5,CME,2018-02-07,158.67,164.719,2018-02-23,161.2,rollback,2018-02-22
SCORE_RS_N5,PSA,2017-10-05,214.51,129.5073,2018-02-28,193.82,rollback,2018-02-27
SCORE_RS_N5,AXP,2018-02-02,99.53,270.9644,2018-03-01,97.82,rollback,2018-02-28
SCORE_RS_N5,BDX,2018-02-28,225.31,120.8671,2018-03-13,226.98,rollback,2018-03-12
SCORE_RS_N5,EXR,2017-12-11,86.14,309.8034,2018-03-15,85.93,rollback,2018-03-14
SCORE_RS_N5,EXC,2018-01-18,39.0,695.0377,2018-03-20,38.29,rollback,2018-03-19
SCORE_RS_N5,AGN,2018-03-13,159.19,169.4966,2018-03-21,163.8,rollback,2018-03-20
SCORE_RS_N5,MRO,2018-03-21,15.38,1714.409,2018-03-23,15.88,rollback,2018-03-22
SCORE_RS_N5,HAL,2018-03-26,47.01,553.1946,2018-04-25,51.0,rollback,2018-04-24
SCORE_RS_N5,KIM,2018-02-23,15.06,1801.22,2018-05-01,14.52,rollback,2018-04-30
SCORE_RS_N5,STI,2018-04-25,3377.0,7.483,2018-05-14,3466.5,rollback,2018-05-11
SCORE_RS_N5,NVDA,2018-03-21,6.233,4229.9012,2018-05-16,6.1,rollback,2018-05-15
SCORE_RS_N5,LB,2018-03-01,44.77,602.2823,2018-06-07,37.35,rollback,2018-06-06
SCORE_RS_N5,VZ,2018-05-14,48.67,545.1824,2018-07-02,50.25,rollback,2018-06-29
SCORE_RS_N5,KO,2018-07-02,43.78,635.9244,2018-07-10,44.51,rollback,2018-07-09
SCORE_RS_N5,FOXA,2018-05-01,36.43,704.721,2018-07-12,47.97,rollback,2018-07-11
SCORE_RS_N5,CPB,2018-03-15,44.09,612.2248,2018-07-13,41.24,rollback,2018-07-12
SCORE_RS_N5,AZO,2018-07-13,685.82,40.7137,2018-07-23,713.37,rollback,2018-07-20
SCORE_RS_N5,PM,2018-07-23,83.42,332.7363,2018-08-01,86.03,rollback,2018-07-31
SCORE_RS_N5,TJX,2018-07-12,47.515,595.0048,2018-08-14,49.8,rollback,2018-08-13
SCORE_RS_N5,FLR,2018-07-10,49.72,576.0469,2018-08-16,55.34,rollback,2018-08-15
SCORE_RS_N5,HP,2018-05-16,71.64,364.9916,2018-08-24,65.88,rollback,2018-08-23
SCORE_RS_N5,NLSN,2018-06-07,30.77,826.1805,2018-08-31,25.93,rollback,2018-08-30
SCORE_RS_N5,ULTA,2018-08-24,240.1,119.5594,2018-09-24,280.55,rollback,2018-09-21
SCORE_RS_N5,GILD,2018-08-31,76.32,372.5744,2018-10-05,76.77,rollback,2018-10-04
SCORE_RS_N5,PPL,2018-10-05,30.0,920.1371,2018-10-19,30.81,rollback,2018-10-18
SCORE_RS_N5,KIM,2018-08-16,16.71,1687.6504,2018-11-02,15.88,rollback,2018-11-01
SCORE_RS_N5,CBS,2018-10-19,56.45,476.9171,2018-11-05,56.49,rollback,2018-11-02
SCORE_RS_N5,UAA,2018-08-14,21.0,1344.8043,2018-11-15,22.39,rollback,2018-11-14
SCORE_RS_N5,WYNN,2018-11-16,105.97,261.2032,2018-11-30,107.5,rollback,2018-11-29
SCORE_RS_N5,LRCX,2018-11-02,15.293,1871.3033,2018-12-06,14.5,rollback,2018-12-04
SCORE_RS_N5,FL,2018-11-05,48.72,588.9285,2018-12-06,54.2,rollback,2018-12-04
SCORE_RS_N5,HBI,2018-08-01,18.6,1459.1778,2019-01-11,13.5,rollback,2019-01-10
SCORE_RS_N5,IPGP,2018-09-24,167.77,175.2451,2019-01-15,127.54,rollback,2019-01-14
SCORE_RS_N5,ANET,2018-12-07,14.8863,1886.3758,2019-01-17,13.7369,rollback,2019-01-16
SCORE_RS_N5,MAT,2018-11-30,13.76,2098.2564,2019-01-24,11.83,rollback,2019-01-23
SCORE_RS_N5,ALGN,2019-01-17,206.87,124.8301,2019-01-29,222.16,rollback,2019-01-28
SCORE_RS_N5,LW,2019-01-29,71.33,371.0526,2019-03-27,73.11,rollback,2019-03-26
SCORE_RS_N5,CPB,2019-01-15,34.94,734.9361,2019-03-28,38.02,rollback,2019-03-27
SCORE_RS_N5,M,2019-03-28,24.53,997.4909,2019-04-08,25.48,rollback,2019-04-05
SCORE_RS_N5,BKNG,2018-12-07,74.6888,376.013,2019-04-17,73.9452,rollback,2019-04-16
SCORE_RS_N5,CVS,2019-01-24,65.5,386.9595,2019-05-06,55.97,rollback,2019-05-03
SCORE_RS_N5,NWL,2019-01-11,20.47,1241.9058,2019-05-07,15.81,rollback,2019-05-06
SCORE_RS_N5,COTY,2019-05-06,11.26,2160.218,2019-05-23,13.03,rollback,2019-05-22
SCORE_RS_N5,XRX,2019-03-27,21.4133,1148.4246,2019-06-13,23.34,rollback,2019-06-12
SCORE_RS_N5,TGT,2019-05-23,77.81,313.1921,2019-06-18,87.51,rollback,2019-06-17
SCORE_RS_N5,BA,2019-04-17,384.1,66.5416,2019-06-20,373.0,rollback,2019-06-19
