n_slots,seed,final_equity
50,0,327643.18
50,1,319425.5
50,2,332625.99
50,3,336819.2
50,4,320436.25
50,5,321321.27
50,6,335014.38
50,7,318555.53
50,8,344272.33
50,9,332262.75
50,10,325457.1
50,11,329177.71
50,12,340723.41
50,13,321750.77
50,14,320852.88
50,15,358902.64
50,16,355701.09
50,17,320361.79
50,18,333659.76
50,19,338751.18
50,20,319360.29
50,21,332566.92
50,22,337946.94
50,23,320821.53
50,24,321612.74
50,25,335896.84
50,26,326534.72
50,27,331744.93
50,28,331733.33
50,29,325987.24
50,30,321044.83
50,31,338044.07
50,32,331499.72
50,33,335071.29
50,34,316672.75
50,35,340554.91
50,36,334024.03
50,37,335981.06
50,38,339557.4
50,39,328693.54
50,40,325610.66
50,41,335640.7
50,42,323001.99
50,43,330114.33
50,44,325437.42
50,45,317818.35
50,46,327629.83
50,47,318016.48
50,48,323123.15
50,49,350233.73
50,50,330651.17
50,51,335355.43
50,52,318379.05
50,53,332294.47
50,54,320032.68
50,55,344007.91
50,56,332779.12
50,57,319265.35
50,58,328463.73
50,59,352599.81
50,60,327050.56
50,61,338596.63
50,62,320881.3
50,63,325127.13
50,64,350522.92
50,65,323380.44
50,66,318885.51
50,67,326302.08
50,68,329637.44
50,69,328416.93
50,70,326545.37
50,71,318894.61
50,72,336715.0
50,73,325718.89
50,74,325652.73
50,75,322951.24
50,76,345760.67
50,77,321706.1
50,78,333284.0
50,79,328189.35
50,80,310914.71
50,81,334013.69
50,82,326812.97
50,83,314972.77
50,84,320595.1
50,85,327534.05
50,86,332152.73
50,87,332544.48
50,88,328233.92
50,89,317814.05
50,90,332389.35
50,91,325318.03
50,92,338411.82
50,93,321780.49
50,94,329452.24
50,95,317025.15
50,96,330517.68
50,97,320084.72
50,98,340605.13
50,99,329502.73
