run,ticker,entry_date,entry_px,shares,exit_date,exit_px,reason,last_date,added,add_date
SPY,SPY,2016-01-04,200.49,498.5287,,681.92,open,2025-12-31,,
RSP,RSP,2016-01-04,75.4,1325.5971,,191.56,open,2025-12-31,,
RANKVOL_BENCH_N10,AVGO,2016-02-01,13.334,749.5877,2016-02-03,13.725,rollback,2016-02-02,,
RANKVOL_BENCH_N10,HAL,2016-02-01,31.29,319.3354,2016-02-08,30.74,rollback,2016-02-05,,
RANKVOL_BENCH_N10,DOW,2016-02-03,45.73,214.2506,2016-02-12,45.28,rollback,2016-02-11,,
RANKVOL_BENCH_N10,CVX,2016-02-09,85.08,108.9885,2016-02-19,86.33,rollback,2016-02-18,,
RANKVOL_BENCH_N10,FOXA,2016-02-01,26.84,372.2432,2016-02-24,26.71,rollback,2016-02-23,,
RANKVOL_BENCH_N10,XRX,2016-02-01,16.996,587.8152,2016-02-24,16.513,rollback,2016-02-23,,
RANKVOL_BENCH_N10,MDLZ,2016-02-01,42.82,233.3374,2016-02-29,40.54,rollback,2016-02-26,,
RANKVOL_BENCH_N10,JNPR,2016-02-19,24.0,407.0166,2016-02-29,24.59,rollback,2016-02-26,,
RANKVOL_BENCH_N10,KLAC,2016-02-01,6.64,1505.0458,2016-03-03,6.836,rollback,2016-03-02,,
RANKVOL_BENCH_N10,LRCX,2016-02-01,7.12,1403.7223,2016-03-09,7.355,rollback,2016-03-08,,
RANKVOL_BENCH_N10,JPM,2016-02-01,59.16,168.9318,2016-03-09,59.15,rollback,2016-03-08,,
RANKVOL_BENCH_N10,TAP,2016-02-01,90.5,110.4199,2016-03-09,88.6,rollback,2016-03-08,,
RANKVOL_BENCH_N10,AMAT,2016-02-01,17.45,572.6364,2016-03-09,19.01,rollback,2016-03-08,,
RANKVOL_BENCH_N10,BAC,2016-02-29,12.7,788.5809,2016-03-09,13.17,rollback,2016-03-08,,
RANKVOL_BENCH_N10,AIG,2016-03-14,52.59,195.6704,2016-03-22,53.55,rollback,2016-03-21,,
RANKVOL_BENCH_N10,GILD,2016-02-16,90.72,104.7284,2016-03-24,89.61,rollback,2016-03-23,,
RANKVOL_BENCH_N10,WY,2016-02-24,24.0,405.8842,2016-04-05,30.87,rollback,2016-04-04,,
RANKVOL_BENCH_N10,ATVI,2016-02-25,31.98,311.365,2016-04-06,33.89,rollback,2016-04-05,,
RANKVOL_BENCH_N10,V,2016-03-17,72.28,143.0051,2016-04-25,78.69,rollback,2016-04-22,,
RANKVOL_BENCH_N10,GME,2016-03-30,7.8925,1191.9597,2016-04-25,8.17,index_drop,2016-04-22,,
RANKVOL_BENCH_N10,MRO,2016-04-07,10.88,975.603,2016-04-26,14.09,rollback,2016-04-25,,
RANKVOL_BENCH_N10,PFE,2016-03-14,30.27,339.9847,2016-04-27,32.98,rollback,2016-04-26,,
RANKVOL_BENCH_N10,HAL,2016-04-07,35.97,295.0801,2016-05-04,40.13,rollback,2016-05-03,,
RANKVOL_BENCH_N10,WMT,2016-03-22,22.6667,460.3875,2016-05-24,23.2167,rollback,2016-05-23,,
RANKVOL_BENCH_N10,WFM,2016-05-06,29.95,354.802,2016-05-31,31.96,rollback,2016-05-27,,
RANKVOL_BENCH_N10,KR,2016-03-14,38.43,267.781,2016-06-03,36.2,rollback,2016-06-02,,
RANKVOL_BENCH_N10,MU,2016-04-27,11.34,963.9411,2016-06-10,12.32,rollback,2016-06-09,,
RANKVOL_BENCH_N10,FE,2016-04-28,32.67,335.2745,2016-06-13,33.68,rollback,2016-06-10,,
RANKVOL_BENCH_N10,T,2016-05-31,39.03,285.0458,2016-07-08,42.13,rollback,2016-07-07,,
RANKVOL_BENCH_N10,ATVI,2016-06-15,38.46,284.3381,2016-07-08,40.64,rollback,2016-07-07,,
RANKVOL_BENCH_N10,HST,2016-06-03,15.72,709.1639,2016-07-14,16.58,rollback,2016-07-13,,
RANKVOL_BENCH_N10,DAL,2016-03-17,48.58,212.4416,2016-07-22,39.07,rollback,2016-07-21,,
RANKVOL_BENCH_N10,GOOG,2016-02-29,35.016,285.9972,2016-07-27,36.914,rollback,2016-07-26,,
RANKVOL_BENCH_N10,EBAY,2016-04-28,25.09,436.6087,2016-08-10,31.11,rollback,2016-08-09,,
RANKVOL_BENCH_N10,AAPL,2016-07-08,24.1225,459.1314,2016-08-12,26.945,rollback,2016-08-11,,
RANKVOL_BENCH_N10,AABA,2016-06-10,36.97,298.6767,2016-08-24,42.5,rollback,2016-08-23,,
RANKVOL_BENCH_N10,WFC,2016-08-12,48.05,245.1974,2016-09-07,49.79,rollback,2016-09-06,,
RANKVOL_BENCH_N10,NEE,2016-07-22,32.0025,360.1073,2016-09-27,31.7725,rollback,2016-09-26,,
RANKVOL_BENCH_N10,PG,2016-03-03,82.54,124.5109,2016-10-04,88.29,rollback,2016-10-03,,
RANKVOL_BENCH_N10,FAST,2016-04-28,11.7725,930.4707,2016-10-10,10.6175,rollback,2016-10-07,,
RANKVOL_BENCH_N10,KLAC,2016-10-04,7.036,1688.5191,2016-10-12,7.23,rollback,2016-10-11,,
RANKVOL_BENCH_N10,KR,2016-10-12,30.24,389.9382,2016-10-14,31.17,rollback,2016-10-13,,
RANKVOL_BENCH_N10,FOXA,2016-07-14,28.18,403.5865,2016-10-25,25.59,rollback,2016-10-24,,
RANKVOL_BENCH_N10,GOOGL,2016-09-07,40.3965,293.1412,2016-10-26,41.356,rollback,2016-10-25,,
RANKVOL_BENCH_N10,SBUX,2016-08-24,57.0,207.2234,2016-11-10,54.64,rollback,2016-11-09,,
RANKVOL_BENCH_N10,WMT,2016-08-10,24.5233,476.8963,2016-11-15,23.5967,rollback,2016-11-14,,
RANKVOL_BENCH_N10,CMG,2016-09-27,8.39,1389.5051,2016-11-16,7.98,rollback,2016-11-15,,
RANKVOL_BENCH_N10,FCX,2016-10-26,10.45,1114.0402,2016-11-18,13.79,rollback,2016-11-17,,
RANKVOL_BENCH_N10,BMY,2016-10-10,50.79,234.582,2016-11-23,56.05,rollback,2016-11-22,,
RANKVOL_BENCH_N10,C,2016-05-24,45.45,237.4858,2016-11-29,55.5,rollback,2016-11-28,,
RANKVOL_BENCH_N10,ORLY,2016-10-14,18.6733,629.6699,2016-12-01,18.2413,rollback,2016-11-30,,
RANKVOL_BENCH_N10,CMCSA,2016-11-10,31.765,385.4659,2016-12-05,34.51,rollback,2016-12-02,,
RANKVOL_BENCH_N10,CVS,2016-12-01,76.62,161.6375,2016-12-09,78.88,rollback,2016-12-08,,
RANKVOL_BENCH_N10,AVGO,2016-12-09,18.095,694.455,2016-12-13,17.874,rollback,2016-12-12,,
RANKVOL_BENCH_N10,KO,2016-11-29,41.52,297.0225,2016-12-14,41.89,rollback,2016-12-13,,
RANKVOL_BENCH_N10,XOM,2016-11-16,86.74,135.7702,2016-12-20,90.51,rollback,2016-12-19,,
RANKVOL_BENCH_N10,PFE,2016-12-13,32.81,383.803,2016-12-22,32.29,rollback,2016-12-21,,
RANKVOL_BENCH_N10,BSX,2016-07-29,24.33,476.3341,2016-12-29,21.65,rollback,2016-12-28,,
RANKVOL_BENCH_N10,NKE,2016-11-18,51.39,242.2441,2017-01-10,53.55,rollback,2017-01-09,,
RANKVOL_BENCH_N10,AMZN,2016-10-25,41.965,280.3,2017-01-18,40.475,rollback,2017-01-17,,
RANKVOL_BENCH_N10,NFLX,2016-12-05,12.073,1017.6003,2017-01-23,13.865,rollback,2017-01-20,,
RANKVOL_BENCH_N10,FB,2016-12-14,120.0,105.337,2017-02-01,132.25,rollback,2017-01-31,,
RANKVOL_BENCH_N10,LRCX,2016-12-20,10.819,1155.8498,2017-02-01,11.591,rollback,2017-01-31,,
RANKVOL_BENCH_N10,PG,2017-01-18,84.8,149.7101,2017-02-07,87.64,rollback,2017-02-06,,
RANKVOL_BENCH_N10,KLAC,2016-12-22,7.898,1585.6418,2017-02-10,8.696,rollback,2017-02-09,,
RANKVOL_BENCH_N10,HPQ,2016-07-08,13.05,848.647,2017-02-16,15.99,rollback,2017-02-15,,
RANKVOL_BENCH_N10,COG,2017-01-03,22.98,539.0127,2017-02-17,23.01,rollback,2017-02-16,,
RANKVOL_BENCH_N10,HBAN,2017-01-10,13.35,948.5339,2017-02-17,14.02,rollback,2017-02-16,,
RANKVOL_BENCH_N10,BAC,2017-02-10,23.19,559.1533,2017-02-24,24.12,rollback,2017-02-23,,
RANKVOL_BENCH_N10,EXC,2017-02-01,35.66,361.1349,2017-02-28,36.47,rollback,2017-02-27,,
RANKVOL_BENCH_N10,ABBV,2017-02-16,61.67,214.1822,2017-03-22,65.38,rollback,2017-03-21,,
RANKVOL_BENCH_N10,LRCX,2017-02-22,11.763,1119.3054,2017-03-22,12.408,rollback,2017-03-21,,
RANKVOL_BENCH_N10,INTC,2017-01-23,37.07,344.8228,2017-05-01,36.11,rollback,2017-04-28,,
RANKVOL_BENCH_N10,EW,2017-02-02,30.72,414.7387,2017-05-12,36.6967,rollback,2017-05-11,,
RANKVOL_BENCH_N10,QCOM,2016-11-23,68.33,182.6973,2017-05-26,57.66,rollback,2017-05-25,,
RANKVOL_BENCH_N10,F,2017-02-28,12.63,1042.6996,2017-06-05,11.36,rollback,2017-06-02,,
RANKVOL_BENCH_N10,PHM,2017-05-12,23.0,560.2479,2017-06-06,23.21,rollback,2017-06-05,,
RANKVOL_BENCH_N10,NEE,2017-03-22,33.0025,392.7926,2017-06-09,35.275,rollback,2017-06-08,,
RANKVOL_BENCH_N10,AMD,2017-05-02,11.73,1103.2197,2017-06-12,11.75,rollback,2017-06-09,,
RANKVOL_BENCH_N10,BAC,2017-06-12,23.82,537.6331,2017-07-03,24.46,rollback,2017-06-30,,
RANKVOL_BENCH_N10,WMB,2017-02-07,28.93,448.4152,2017-07-06,30.5,rollback,2017-07-05,,
RANKVOL_BENCH_N10,RF,2017-06-09,14.14,908.5631,2017-07-06,14.84,rollback,2017-07-05,,
RANKVOL_BENCH_N10,GILD,2017-06-06,65.19,195.6905,2017-07-07,69.69,rollback,2017-07-06,,
RANKVOL_BENCH_N10,PYPL,2017-07-06,54.22,236.5214,2017-07-12,56.6,rollback,2017-07-11,,
RANKVOL_BENCH_N10,RIG,2017-02-24,13.99,939.429,2017-07-21,8.74,rollback,2017-07-20,,
RANKVOL_BENCH_N10,HPE,2017-07-06,16.85,761.1177,2017-07-25,17.84,rollback,2017-07-24,,
RANKVOL_BENCH_N10,AVGO,2017-07-10,24.051,526.1525,2017-07-28,24.892,rollback,2017-07-27,,
RANKVOL_BENCH_N10,KMI,2016-11-15,21.5,574.382,2017-08-02,20.2,rollback,2017-08-01,,
RANKVOL_BENCH_N10,NEM,2017-03-22,34.23,378.688,2017-08-07,36.15,rollback,2017-08-04,,
RANKVOL_BENCH_N10,T,2017-02-21,41.37,318.1595,2017-08-09,38.2,rollback,2017-08-08,,
RANKVOL_BENCH_N10,TJX,2017-07-03,36.325,351.9913,2017-08-10,35.345,rollback,2017-08-09,,
RANKVOL_BENCH_N10,HBI,2017-08-03,23.76,558.7451,2017-08-10,24.11,rollback,2017-08-09,,
RANKVOL_BENCH_N10,INTC,2017-05-26,36.26,351.4383,2017-08-11,36.26,rollback,2017-08-10,,
RANKVOL_BENCH_N10,VZ,2017-07-21,44.23,295.7539,2017-08-16,48.37,rollback,2017-08-15,,
RANKVOL_BENCH_N10,LRCX,2017-08-16,16.145,820.5671,2017-08-24,16.221,rollback,2017-08-23,,
RANKVOL_BENCH_N10,MU,2017-07-12,31.77,406.1635,2017-08-25,30.3,rollback,2017-08-24,,
RANKVOL_BENCH_N10,MSFT,2017-08-15,73.59,179.8648,2017-09-05,73.34,rollback,2017-09-01,,
RANKVOL_BENCH_N10,SPLS,2017-08-15,10.2,1297.5423,2017-09-12,10.25,delisted,2017-09-12,,
RANKVOL_BENCH_N10,FAST,2017-06-05,11.0675,1150.5157,2017-09-20,11.1075,rollback,2017-09-19,,
RANKVOL_BENCH_N10,BAC,2017-07-26,24.67,533.2719,2017-09-26,24.83,rollback,2017-09-25,,
RANKVOL_BENCH_N10,GPS,2017-08-25,23.39,562.536,2017-10-04,29.04,rollback,2017-10-03,,
