seed,arm,final_equity,p10_trade_ret,med_trade_ret,maxdd
0,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
0,LEAN_FILTER,525697.35,-0.07732,0.031455,-0.3502
0,LEAN_SIZER,536077.09,-0.076214,0.029885,-0.304
1,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
1,LEAN_FILTER,520002.42,-0.073713,0.02959,-0.3866
1,LEAN_SIZER,650049.71,-0.078964,0.031455,-0.3861
2,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
2,LEAN_FILTER,520002.42,-0.073713,0.02959,-0.3866
2,LEAN_SIZER,650049.71,-0.078964,0.031455,-0.3861
3,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
3,LEAN_FILTER,525697.35,-0.07732,0.031455,-0.3502
3,LEAN_SIZER,536077.09,-0.076214,0.029885,-0.304
4,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
4,LEAN_FILTER,492562.3,-0.074406,0.031431,-0.3866
4,LEAN_SIZER,577701.54,-0.076214,0.031316,-0.3868
5,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
5,LEAN_FILTER,552887.57,-0.076193,0.031067,-0.3866
5,LEAN_SIZER,563530.9,-0.076301,0.029514,-0.3671
6,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
6,LEAN_FILTER,520002.42,-0.073713,0.02959,-0.3866
6,LEAN_SIZER,650049.71,-0.078964,0.031455,-0.3861
7,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
7,LEAN_FILTER,404558.94,-0.076257,0.031067,-0.1922
7,LEAN_SIZER,436668.71,-0.077049,0.029724,-0.2206
8,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
8,LEAN_FILTER,525697.35,-0.07732,0.031455,-0.3502
8,LEAN_SIZER,536077.09,-0.076214,0.029885,-0.304
9,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
9,LEAN_FILTER,520002.42,-0.073713,0.02959,-0.3866
9,LEAN_SIZER,650049.71,-0.078964,0.031455,-0.3861
10,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
10,LEAN_FILTER,404558.94,-0.076257,0.031067,-0.1922
10,LEAN_SIZER,436668.71,-0.077049,0.029724,-0.2206
11,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
11,LEAN_FILTER,285128.04,-0.081389,0.028207,-0.3944
11,LEAN_SIZER,422635.44,-0.077424,0.02968,-0.3978
12,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
12,LEAN_FILTER,145984.22,-0.091349,0.024706,-0.3866
12,LEAN_SIZER,317663.64,-0.077424,0.029868,-0.3592
13,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
13,LEAN_FILTER,505052.49,-0.076236,0.029469,-0.3866
13,LEAN_SIZER,585395.14,-0.075329,0.031517,-0.3806
14,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
14,LEAN_FILTER,145984.22,-0.091349,0.024706,-0.3866
14,LEAN_SIZER,317663.64,-0.077424,0.029868,-0.3592
15,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
15,LEAN_FILTER,137976.9,-0.100232,0.026194,-0.3864
15,LEAN_SIZER,308789.75,-0.0768,0.02985,-0.4091
16,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
16,LEAN_FILTER,392505.71,-0.082112,0.031742,-0.3866
16,LEAN_SIZER,527348.13,-0.077548,0.029543,-0.3626
17,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
17,LEAN_FILTER,372685.82,-0.06171,0.033933,-0.2845
17,LEAN_SIZER,419019.75,-0.077049,0.029724,-0.3178
18,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
18,LEAN_FILTER,552887.57,-0.076193,0.031067,-0.3866
18,LEAN_SIZER,509652.85,-0.080819,0.029724,-0.3748
19,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
19,LEAN_FILTER,505052.49,-0.076236,0.029469,-0.3866
19,LEAN_SIZER,585395.14,-0.075329,0.031517,-0.3806
20,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
20,LEAN_FILTER,416190.06,-0.065052,0.033048,-0.1922
20,LEAN_SIZER,398591.69,-0.077607,0.029397,-0.2437
21,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
21,LEAN_FILTER,497715.66,-0.069889,0.031578,-0.3576
21,LEAN_SIZER,511596.87,-0.076247,0.02968,-0.3237
22,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
22,LEAN_FILTER,552887.57,-0.076193,0.031067,-0.3866
22,LEAN_SIZER,509652.85,-0.080819,0.029724,-0.3748
23,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
23,LEAN_FILTER,497715.66,-0.069889,0.031578,-0.3576
23,LEAN_SIZER,511596.87,-0.076247,0.02968,-0.3237
24,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
24,LEAN_FILTER,525697.35,-0.07732,0.031455,-0.3502
24,LEAN_SIZER,536077.09,-0.076214,0.029885,-0.304
25,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
25,LEAN_FILTER,141520.45,-0.092817,0.026236,-0.2163
25,LEAN_SIZER,343524.35,-0.077548,0.029469,-0.2677
26,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
26,LEAN_FILTER,552887.57,-0.076193,0.031067,-0.3866
26,LEAN_SIZER,563530.9,-0.076301,0.029514,-0.3671
27,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
27,LEAN_FILTER,416190.06,-0.065052,0.033048,-0.1922
27,LEAN_SIZER,398591.69,-0.077607,0.029397,-0.2437
28,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
28,LEAN_FILTER,525697.35,-0.07732,0.031455,-0.3502
28,LEAN_SIZER,536077.09,-0.076214,0.029885,-0.304
29,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
29,LEAN_FILTER,372685.82,-0.06171,0.033933,-0.2845
29,LEAN_SIZER,419019.75,-0.077049,0.029724,-0.3178
30,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
30,LEAN_FILTER,497715.66,-0.069889,0.031578,-0.3576
30,LEAN_SIZER,511596.87,-0.076247,0.02968,-0.3237
31,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
31,LEAN_FILTER,372685.82,-0.06171,0.033933,-0.2845
31,LEAN_SIZER,419019.75,-0.077049,0.029724,-0.3178
32,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
32,LEAN_FILTER,372685.82,-0.06171,0.033933,-0.2845
32,LEAN_SIZER,419019.75,-0.077049,0.029724,-0.3178
33,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
33,LEAN_FILTER,141520.45,-0.092817,0.026236,-0.2163
33,LEAN_SIZER,343524.35,-0.077548,0.029469,-0.2677
34,LEAN_TIEBREAK,552887.57,-0.076193,0.031067,-0.3866
34,LEAN_FILTER,141520.45,-0.092817,0.026236,-0.2163
34,LEAN_SIZER,343524.35,-0.077548,0.029469,-0.2677
