arm,seed,final_equity
ADDS,0,558187.99
ADDS,1,480850.94
ADDS,2,447030.99
ADDS,3,476899.11
ADDS,4,532643.2
ADDS,5,601442.94
ADDS,6,493697.6
ADDS,7,457016.65
ADDS,8,704982.28
ADDS,9,565732.19
ADDS,10,431083.79
ADDS,11,729326.6
ADDS,12,658287.18
ADDS,13,502900.44
ADDS,14,408168.93
ADDS,15,403489.7
ADDS,16,524436.23
ADDS,17,370178.05
ADDS,18,496132.78
ADDS,19,531961.13
ADDS,20,399620.89
ADDS,21,515833.88
ADDS,22,529940.98
ADDS,23,497956.58
ADDS,24,489091.0
ADDS,25,629124.4
ADDS,26,336270.77
ADDS,27,637333.06
ADDS,28,536920.58
ADDS,29,605795.66
ADDS,30,612977.89
ADDS,31,445489.2
ADDS,32,618573.47
ADDS,33,588680.52
ADDS,34,451931.19
ADDS,35,576075.7
ADDS,36,598739.16
ADDS,37,461393.26
ADDS,38,923884.43
ADDS,39,587834.67
ADDS,40,547688.31
ADDS,41,434180.52
ADDS,42,306614.57
ADDS,43,315248.22
ADDS,44,563571.36
ADDS,45,431513.42
ADDS,46,586818.5
ADDS,47,487618.73
ADDS,48,545100.47
ADDS,49,485968.06
ADDS,50,473139.97
ADDS,51,450630.8
ADDS,52,482184.56
ADDS,53,332199.37
ADDS,54,342602.51
ADDS,55,487902.26
ADDS,56,485166.8
ADDS,57,453535.92
ADDS,58,529792.86
ADDS,59,557680.75
ADDS,60,689071.66
ADDS,61,626705.95
ADDS,62,561623.13
ADDS,63,611621.87
ADDS,64,597534.1
ADDS,65,587291.7
ADDS,66,516013.32
ADDS,67,385947.69
ADDS,68,518685.57
ADDS,69,579302.4
ADDS,70,384600.16
ADDS,71,602021.85
ADDS,72,434772.6
ADDS,73,459798.17
ADDS,74,689551.28
ADDS,75,588099.77
ADDS,76,573682.9
ADDS,77,597300.45
ADDS,78,464248.91
ADDS,79,645898.59
ADDS,80,509686.63
ADDS,81,519934.63
ADDS,82,400341.75
ADDS,83,542256.64
ADDS,84,587133.93
ADDS,85,510070.27
ADDS,86,612245.2
ADDS,87,425142.06
ADDS,88,517626.87
ADDS,89,684537.9
ADDS,90,503717.68
ADDS,91,544569.29
ADDS,92,621245.68
ADDS,93,426413.52
ADDS,94,570839.33
ADDS,95,339496.07
ADDS,96,451518.39
ADDS,97,449427.04
ADDS,98,375300.04
ADDS,99,461782.1
ADDS,100,573662.39
ADDS,101,515743.82
ADDS,102,648561.44
ADDS,103,376207.17
ADDS,104,426414.66
ADDS,105,506570.86
ADDS,106,683342.18
ADDS,107,648649.44
ADDS,108,380997.11
ADDS,109,631629.69
ADDS,110,516074.65
ADDS,111,391547.35
ADDS,112,537026.45
ADDS,113,402686.86
ADDS,114,640919.03
ADDS,115,345615.54
ADDS,116,626050.6
ADDS,117,474734.93
ADDS,118,509522.8
ADDS,119,538979.36
ADDS,120,418850.69
ADDS,121,466850.19
ADDS,122,610162.27
ADDS,123,1038736.77
ADDS,124,555709.56
ADDS,125,385929.77
ADDS,126,581536.55
ADDS,127,518243.24
ADDS,128,482458.62
ADDS,129,572296.42
ADDS,130,419311.96
ADDS,131,526853.12
ADDS,132,578455.66
ADDS,133,550087.0
ADDS,134,468629.62
ADDS,135,705205.59
ADDS,136,423617.41
ADDS,137,380403.64
ADDS,138,745892.35
ADDS,139,451972.05
ADDS,140,440598.89
ADDS,141,396865.45
ADDS,142,520703.41
ADDS,143,411567.31
ADDS,144,951048.39
ADDS,145,567121.17
ADDS,146,341070.77
ADDS,147,360225.43
ADDS,148,582056.46
ADDS,149,413849.74
ADDS,150,452574.0
ADDS,151,573901.02
ADDS,152,605455.36
ADDS,153,506690.13
ADDS,154,813920.29
ADDS,155,582135.67
ADDS,156,574068.55
ADDS,157,535537.05
ADDS,158,645344.16
ADDS,159,609098.64
ADDS,160,889343.61
ADDS,161,440659.08
ADDS,162,723309.96
ADDS,163,620503.2
ADDS,164,513550.38
ADDS,165,578870.58
ADDS,166,393888.49
ADDS,167,758683.68
ADDS,168,358576.39
ADDS,169,445899.4
ADDS,170,384546.15
ADDS,171,490163.51
ADDS,172,671736.63
ADDS,173,449188.44
ADDS,174,438511.08
ADDS,175,519914.83
