arm,null,seed,final_equity
ADDS_LEAN_SELECT,N1,0,670593.34
ADDS_LEAN_SELECT,N1,1,531489.13
ADDS_LEAN_SELECT,N1,2,534295.39
ADDS_LEAN_SELECT,N1,3,561231.46
ADDS_LEAN_SELECT,N1,4,503517.02
ADDS_LEAN_SELECT,N1,5,539113.07
ADDS_LEAN_SELECT,N1,6,554049.82
ADDS_LEAN_SELECT,N1,7,480165.45
ADDS_LEAN_SELECT,N1,8,478577.58
ADDS_LEAN_SELECT,N1,9,502519.08
ADDS_LEAN_SELECT,N1,10,504771.68
ADDS_LEAN_SELECT,N1,11,471613.88
ADDS_LEAN_SELECT,N1,12,584437.89
ADDS_LEAN_SELECT,N1,13,521464.9
ADDS_LEAN_SELECT,N1,14,488668.41
ADDS_LEAN_SELECT,N1,15,639163.96
ADDS_LEAN_SELECT,N1,16,532115.77
ADDS_LEAN_SELECT,N1,17,538416.57
ADDS_LEAN_SELECT,N1,18,499278.14
ADDS_LEAN_SELECT,N1,19,532467.2
ADDS_LEAN_SELECT,N1,20,489471.55
ADDS_LEAN_SELECT,N1,21,561586.1
ADDS_LEAN_SELECT,N1,22,598472.36
ADDS_LEAN_SELECT,N1,23,495160.73
ADDS_LEAN_SELECT,N1,24,575263.86
ADDS_LEAN_SELECT,N1,25,465699.57
ADDS_LEAN_SELECT,N1,26,579727.53
ADDS_LEAN_SELECT,N1,27,553437.06
ADDS_LEAN_SELECT,N1,28,605694.32
ADDS_LEAN_SELECT,N1,29,641980.87
ADDS_LEAN_SELECT,N1,30,561028.24
ADDS_LEAN_SELECT,N1,31,532830.35
ADDS_LEAN_SELECT,N1,32,643707.92
ADDS_LEAN_SELECT,N1,33,521382.94
ADDS_LEAN_SELECT,N1,34,554966.88
ADDS_LEAN_SELECT,N1,35,458059.01
ADDS_LEAN_SELECT,N1,36,533730.16
ADDS_LEAN_SELECT,N1,37,531080.77
ADDS_LEAN_SELECT,N1,38,461475.74
ADDS_LEAN_SELECT,N1,39,662142.98
ADDS_LEAN_SELECT,N1,40,576385.33
ADDS_LEAN_SELECT,N1,41,477057.94
ADDS_LEAN_SELECT,N1,42,614644.82
ADDS_LEAN_SELECT,N1,43,592442.11
ADDS_LEAN_SELECT,N1,44,544428.46
ADDS_LEAN_SELECT,N1,45,502381.61
ADDS_LEAN_SELECT,N1,46,508113.93
ADDS_LEAN_SELECT,N1,47,555533.08
ADDS_LEAN_SELECT,N1,48,517352.2
ADDS_LEAN_SELECT,N1,49,649560.26
ADDS_LEAN_SELECT,N1,50,508316.5
ADDS_LEAN_SELECT,N1,51,482273.39
ADDS_LEAN_SELECT,N1,52,421577.37
ADDS_LEAN_SELECT,N1,53,612100.85
ADDS_LEAN_SELECT,N1,54,519544.06
ADDS_LEAN_SELECT,N1,55,603973.59
ADDS_LEAN_SELECT,N1,56,522185.33
ADDS_LEAN_SELECT,N1,57,474362.79
ADDS_LEAN_SELECT,N1,58,503486.28
ADDS_LEAN_SELECT,N1,59,496478.91
ADDS_LEAN_SELECT,N1,60,548039.41
ADDS_LEAN_SELECT,N1,61,506679.59
ADDS_LEAN_SELECT,N1,62,551324.02
ADDS_LEAN_SELECT,N1,63,517552.74
ADDS_LEAN_SELECT,N1,64,634403.12
ADDS_LEAN_SELECT,N1,65,488164.35
ADDS_LEAN_SELECT,N1,66,426967.24
ADDS_LEAN_SELECT,N1,67,567042.76
ADDS_LEAN_SELECT,N1,68,441177.61
ADDS_LEAN_SELECT,N1,69,513889.93
ADDS_LEAN_SELECT,N1,70,545940.55
ADDS_LEAN_SELECT,N1,71,526110.27
ADDS_LEAN_SELECT,N1,72,552996.32
ADDS_LEAN_SELECT,N1,73,540446.17
ADDS_LEAN_SELECT,N1,74,534278.86
ADDS_LEAN_SELECT,N1,75,500058.62
ADDS_LEAN_SELECT,N1,76,565881.42
ADDS_LEAN_SELECT,N1,77,528493.03
ADDS_LEAN_SELECT,N1,78,591933.93
ADDS_LEAN_SELECT,N1,79,626335.25
ADDS_LEAN_SELECT,N1,80,419095.17
