ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
HAL,2016-02-03,30.75,9802.58,1.0,-0.10602,2016-02-01,2016-02-08,30.74,-0.01,-178.82
CVX,2016-02-10,82.77,9375.36,1.0,-0.10602,2016-02-09,2016-02-19,86.33,0.0279,539.27
KLAC,2016-02-19,6.559,9848.81,1.0,-0.10602,2016-02-01,2016-03-03,6.836,0.0348,710.72
LRCX,2016-02-19,6.952,9848.32,1.0,-0.10602,2016-02-01,2016-03-09,7.355,0.0443,900.49
TAP,2016-02-24,85.14,9804.67,1.0,-0.10602,2016-02-01,2016-03-09,88.6,0.0085,188.45
KR,2016-03-15,38.01,10482.25,1.0,-0.19588,2016-03-14,2016-06-03,36.2,-0.0538,-1107.96
PFE,2016-03-16,29.52,10539.14,1.0,-0.19588,2016-03-14,2016-04-27,32.98,0.1023,2174.43
GME,2016-04-05,7.7,10836.45,1.0,-0.19356,2016-03-30,2016-04-25,8.17,0.0471,1039.75
HST,2016-06-02,15.37,11394.61,1.0,-0.13338,2016-04-28,2016-07-14,16.58,0.0641,1471.54
AABA,2016-06-13,36.7,11173.16,1.0,-0.13338,2016-06-03,2016-08-24,42.5,0.1504,3425.57
C,2016-07-05,41.38,11411.72,1.0,-0.15492,2016-05-24,2016-11-29,55.5,0.2811,6312.52
FAST,2016-08-01,10.695,11961.85,1.0,-0.16466,2016-04-28,2016-10-10,10.6175,-0.0521,-1184.97
WMT,2016-10-25,23.0033,12298.2,1.0,-0.07552,2016-08-10,2016-11-15,23.5967,-0.0069,-144.42
NRG,2016-12-05,11.32,13137.28,1.0,-0.05259,2016-11-29,2016-12-15,12.42,0.0865,2308.17
KO,2016-12-09,41.5,13668.78,1.0,-0.05259,2016-11-29,2016-12-14,41.89,0.0081,246.14
KMI,2016-12-14,21.2,13830.56,1.0,-0.05259,2016-11-15,2017-08-02,20.2,-0.0546,-1442.29
QCOM,2017-01-10,65.95,13988.8,1.0,-0.04694,2016-11-23,2017-05-26,57.66,-0.1414,-3842.61
EXC,2017-02-02,35.44,13622.28,1.0,-0.036,2017-02-01,2017-02-28,36.47,0.0249,705.0
BMY,2017-02-07,51.49,13738.09,1.0,-0.036,2016-12-12,2017-03-03,56.74,0.049,1378.18
TSCO,2017-03-06,14.478,14105.54,1.0,-0.03413,2017-03-03,2017-08-04,11.14,-0.2314,-6517.75
GILD,2017-06-05,65.59,12449.7,1.0,-0.02489,2017-02-28,2017-07-07,69.69,0.0232,642.07
INTC,2017-07-06,34.12,12639.95,1.0,-0.02715,2017-05-26,2017-08-11,36.26,0.0305,792.38
