ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
QCOM,2017-02-10,53.1,12973.25,1.0,0.01754,2016-11-23,2017-05-26,57.66,-0.0338,-835.85
INTC,2017-07-03,33.51,13531.48,1.0,0.01846,2017-05-26,2017-08-11,36.26,0.0405,1109.91
T,2017-07-18,36.43,13740.24,1.0,0.01846,2017-02-21,2017-08-09,38.2,-0.0137,-342.29
SBUX,2017-08-07,55.6,14149.09,1.0,0.01517,2017-07-28,2017-11-14,56.47,0.018,538.37
MU,2017-08-09,28.51,14035.75,1.0,0.01517,2017-07-12,2017-08-25,30.3,0.0078,244.48
AMD,2017-11-10,11.22,13937.1,1.0,0.01654,2017-10-04,2018-01-10,11.63,-0.048,-1346.29
VZ,2017-11-14,44.69,13862.45,1.0,0.01654,2017-10-20,2017-12-21,52.81,0.1214,3538.21
MU,2018-02-12,41.01,15931.08,1.0,0.00785,2018-01-18,2018-02-22,44.78,0.0507,1676.18
KEY,2018-10-22,17.89,16872.21,1.0,0.0386,2018-10-05,2018-11-13,18.27,-0.048,-1642.54
COTY,2018-11-12,8.63,17225.57,1.0,0.02403,2018-09-18,2019-01-10,7.29,-0.286,-10077.97
