ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
HAL,2016-02-03,30.75,10305.43,1.3125,-0.10602,2016-02-01,2016-02-08,30.74,-0.0098,-178.98
CVX,2016-02-10,82.77,10826.32,1.3125,-0.10602,2016-02-09,2016-02-19,86.33,0.0289,601.64
KLAC,2016-02-19,6.559,12934.47,1.3125,-0.10602,2016-02-01,2016-03-03,6.836,0.0357,840.97
LRCX,2016-02-19,6.952,7750.03,1.3125,-0.10602,2016-02-01,2016-03-09,7.355,0.0429,778.91
TAP,2016-02-24,85.14,12876.57,1.3125,-0.10602,2016-02-01,2016-03-09,88.6,0.0127,313.23
KR,2016-03-15,38.01,5796.17,0.5625,-0.19588,2016-03-14,2016-06-03,36.2,-0.0552,-875.3
PFE,2016-03-16,29.52,5821.72,0.5625,-0.19588,2016-03-14,2016-04-27,32.98,0.0984,1606.94
GME,2016-04-05,7.7,5920.83,0.5625,-0.19356,2016-03-30,2016-04-25,8.17,0.0434,730.76
DAL,2016-04-14,48.95,3765.6,0.5625,-0.19356,2016-03-17,2016-07-22,39.07,-0.1982,-2800.74
WMT,2016-04-29,22.91,5988.26,0.5625,-0.19356,2016-03-22,2016-05-24,23.2167,0.0193,334.67
PG,2016-05-04,80.87,5870.65,0.5625,-0.15185,2016-03-03,2016-10-04,88.29,0.0766,1255.9
FAST,2016-05-25,11.44,5995.09,0.5625,-0.15185,2016-04-28,2016-10-10,10.6175,-0.0896,-1482.85
AABA,2016-06-13,36.7,6655.25,0.625,-0.13338,2016-06-10,2016-08-24,42.5,0.1517,2656.1
C,2016-06-22,42.87,6708.64,0.625,-0.13338,2016-05-24,2016-11-29,55.5,0.2485,4304.15
EBAY,2016-07-05,23.71,6604.39,0.625,-0.15492,2016-04-28,2016-08-10,31.11,0.2662,4633.2
NEE,2016-08-04,31.96,7056.9,0.625,-0.16466,2016-07-22,2016-09-27,31.7725,-0.0077,-121.57
WMT,2016-09-06,24.2533,8019.18,0.6875,-0.09577,2016-08-10,2016-11-15,23.5967,-0.0343,-647.16
SBUX,2016-09-26,54.28,7873.65,0.6875,-0.09577,2016-08-24,2016-11-10,54.64,-0.0229,-426.58
CMG,2016-10-26,7.7448,8659.02,0.75,-0.07552,2016-09-27,2016-11-16,7.98,-0.0157,-294.34
BMY,2016-11-01,50.93,5447.95,0.9375,-0.06095,2016-10-10,2016-11-23,56.05,0.1015,1751.72
FB,2016-11-22,122.4,9703.37,0.9375,-0.06095,2016-10-04,2017-02-01,132.25,0.0486,1056.8
NRG,2016-12-05,11.32,11156.49,0.9375,-0.05259,2016-11-29,2016-12-15,12.42,0.0862,2021.85
KO,2016-12-09,41.5,11555.5,0.9375,-0.05259,2016-11-29,2016-12-14,41.89,0.0081,215.57
KMI,2016-12-14,21.2,11697.95,0.9375,-0.05259,2016-11-15,2017-08-02,20.2,-0.0549,-1278.94
KLAC,2016-12-19,7.942,5890.32,0.9375,-0.05259,2016-12-16,2017-02-10,8.696,0.092,1697.06
AMZN,2016-12-27,38.17,11499.33,0.9375,-0.05259,2016-12-14,2017-01-18,40.475,0.0488,1194.83
QCOM,2017-01-10,65.95,11850.24,0.9375,-0.04694,2016-11-23,2017-05-26,57.66,-0.142,-3384.82
EXC,2017-02-02,35.44,11822.7,0.9375,-0.036,2017-02-01,2017-02-28,36.47,0.0248,629.77
GILD,2017-02-16,70.0,7887.41,0.9375,-0.036,2017-02-07,2017-07-07,69.69,-0.0271,-535.97
F,2017-03-15,12.56,12710.95,1.0,-0.03413,2017-02-28,2017-06-05,11.36,-0.0989,-2488.67
WMB,2017-05-12,30.3,13412.37,1.3125,-0.01917,2017-02-07,2017-07-06,30.5,0.0287,775.99
TSCO,2017-06-02,11.158,15533.71,1.3125,-0.02489,2017-03-09,2017-08-04,11.14,-0.1065,-2982.39
FAST,2017-06-15,10.7575,15465.75,1.3125,-0.02489,2017-06-05,2017-09-20,11.1075,0.019,545.68
BAC,2017-07-31,24.12,11777.63,1.3125,-0.02715,2017-07-26,2017-09-26,24.83,0.0167,426.82
SBUX,2017-08-07,55.6,10169.61,1.4375,0.01517,2017-07-28,2017-11-14,56.47,0.0184,440.88
