seed,final_equity,oos_wealth_x,n_bridges_admitted,n_skip_cap,n_degenerate,n_collision,n_forced_delev,worst_margin_to_equity,trip_maintenance,trip_drift,flag_low_admission
0,723543.07,1.842,679,191,0,783,2,0.7659,False,False,True
1,401529.01,1.506,684,186,0,766,3,0.7631,False,False,True
2,560046.54,2.17,692,178,0,741,2,0.7641,False,False,True
3,770179.78,1.701,689,181,0,730,2,0.7651,False,False,True
4,563704.48,1.211,665,205,0,776,0,0.7668,False,False,True
5,578404.17,1.464,701,169,0,753,1,0.7645,False,False,True
6,757873.72,1.939,678,192,0,698,1,0.766,False,False,True
7,608381.12,1.67,686,184,0,771,5,0.7664,False,False,True
8,513810.84,1.525,690,180,0,679,1,0.7662,False,False,True
9,547864.46,1.339,701,169,0,757,7,0.7615,False,False,True
10,466094.73,1.621,665,205,0,719,4,0.7645,False,False,True
11,321681.23,0.96,700,170,0,771,7,0.7639,False,False,True
12,539794.24,1.205,678,192,0,687,3,0.7641,False,False,True
13,749193.19,1.513,699,171,0,805,6,0.761,False,False,True
14,428891.92,1.438,696,174,0,752,3,0.767,False,False,True
15,360262.0,1.248,698,172,0,677,5,0.7638,False,False,True
16,596480.09,1.611,690,180,0,802,3,0.7644,False,False,True
17,381383.53,1.223,666,204,0,787,2,0.7665,False,False,True
18,616840.21,1.431,697,173,0,702,6,0.7633,False,False,True
19,392185.05,0.995,678,192,0,793,3,0.7669,False,False,True
20,807960.34,1.857,677,193,0,774,2,0.763,False,False,True
21,487042.98,1.686,666,204,0,761,5,0.7608,False,False,True
22,422078.69,1.227,692,178,0,720,2,0.7672,False,False,True
23,608329.68,1.659,675,195,0,744,2,0.7652,False,False,True
24,1042291.98,2.086,679,191,0,707,6,0.7633,False,False,True
25,509838.69,1.659,702,168,0,758,5,0.7643,False,False,True
26,464245.45,1.273,664,206,0,704,7,0.7613,False,False,True
27,612129.88,1.864,690,180,0,761,1,0.7646,False,False,True
28,519698.01,1.41,676,194,0,801,2,0.7648,False,False,True
29,679378.76,1.853,683,187,0,735,3,0.7668,False,False,True
30,825642.1,1.96,683,187,0,722,2,0.7634,False,False,True
31,516563.58,1.227,695,175,0,768,6,0.763,False,False,True
32,507021.55,1.496,695,175,0,743,2,0.7651,False,False,True
33,336127.52,1.269,695,175,0,729,3,0.7671,False,False,True
34,514452.92,1.523,676,194,0,727,4,0.7646,False,False,True
35,919558.04,1.865,687,183,0,793,4,0.763,False,False,True
36,752784.93,1.381,678,192,0,688,4,0.7667,False,False,True
37,599865.33,2.038,687,183,0,774,2,0.7678,False,False,True
38,445489.16,1.483,677,193,0,764,2,0.767,False,False,True
39,817864.6,2.046,690,180,0,765,0,0.7635,False,False,True
40,308040.57,1.108,675,195,0,763,3,0.7641,False,False,True
41,363285.44,1.022,682,188,0,720,5,0.7659,False,False,True
42,495862.17,1.614,667,203,0,748,2,0.7669,False,False,True
43,895961.94,1.314,697,173,0,743,5,0.7629,False,False,True
44,360667.76,1.378,688,182,0,769,3,0.7637,False,False,True
45,444860.97,1.808,668,202,0,775,4,0.7616,False,False,True
46,312457.18,1.186,675,195,0,735,5,0.7577,False,False,True
47,409616.18,1.677,678,192,0,708,5,0.7656,False,False,True
48,423457.94,1.554,687,183,0,704,3,0.765,False,False,True
49,659093.75,2.021,679,191,0,757,3,0.7636,False,False,True
50,531759.41,1.928,679,191,0,749,3,0.7559,False,False,True
51,662239.27,1.544,687,183,0,764,5,0.7611,False,False,True
52,981412.27,2.448,663,207,0,747,4,0.7641,False,False,True
53,618802.73,1.256,669,201,0,727,5,0.7623,False,False,True
54,527484.31,1.56,685,185,0,772,3,0.7667,False,False,True
55,459080.74,1.682,687,183,0,775,4,0.7613,False,False,True
56,953749.0,2.371,716,154,0,782,2,0.7652,False,False,True
57,911294.78,2.296,711,159,0,672,5,0.7602,False,False,True
58,819878.33,1.732,662,208,0,808,3,0.762,False,False,True
59,515397.93,1.379,687,183,0,726,2,0.7633,False,False,True
60,906877.8,1.885,701,169,0,756,3,0.7659,False,False,True
61,660169.65,1.684,680,190,0,698,3,0.7621,False,False,True
62,455895.54,1.762,675,195,0,718,1,0.7623,False,False,True
63,809880.66,1.889,667,203,0,740,3,0.7669,False,False,True
64,354800.43,1.117,716,154,0,746,2,0.7671,False,False,True
65,698824.1,2.01,667,203,0,722,3,0.7647,False,False,True
66,653096.44,1.77,703,167,0,732,2,0.7651,False,False,True
67,532054.29,1.642,677,193,0,738,2,0.7676,False,False,True
68,611431.38,1.521,676,194,0,726,2,0.7637,False,False,True
69,396592.31,1.297,677,193,0,737,6,0.7616,False,False,True
70,577167.75,1.538,688,182,0,758,4,0.7621,False,False,True
71,550252.27,1.777,705,165,0,814,6,0.7658,False,False,True
72,521805.97,1.532,680,190,0,726,2,0.7657,False,False,True
73,596930.86,1.776,688,182,0,725,3,0.7662,False,False,True
74,720579.75,1.894,674,196,0,681,4,0.7623,False,False,True
75,620376.3,1.591,674,196,0,781,4,0.7649,False,False,True
76,372296.97,1.588,673,197,0,805,1,0.7648,False,False,True
77,741892.97,1.945,673,197,0,838,2,0.7624,False,False,True
78,573123.36,2.056,683,187,0,740,2,0.7656,False,False,True
79,494001.03,1.507,677,193,0,714,5,0.7643,False,False,True
80,461346.91,1.768,672,198,0,740,6,0.7662,False,False,True
81,502727.2,1.306,684,186,0,713,4,0.768,False,False,True
82,558497.15,1.244,671,199,0,727,6,0.7668,False,False,True
83,629564.1,1.896,665,205,0,731,0,0.7634,False,False,True
84,393073.48,1.507,655,215,0,732,1,0.7632,False,False,True
85,511518.66,2.161,681,189,0,732,3,0.7651,False,False,True
86,678952.55,1.76,676,194,0,739,0,0.7665,False,False,True
87,699275.24,1.558,683,187,0,748,2,0.7638,False,False,True
88,419200.87,1.271,674,196,0,715,1,0.7676,False,False,True
89,715274.62,2.059,697,173,0,761,2,0.7657,False,False,True
90,510374.52,1.688,675,195,0,751,4,0.7661,False,False,True
91,628850.59,1.664,686,184,0,718,5,0.7648,False,False,True
92,680220.22,1.91,702,168,0,737,5,0.7609,False,False,True
93,725309.57,1.596,685,185,0,675,5,0.7661,False,False,True
94,650435.2,1.554,683,187,0,731,3,0.7661,False,False,True
95,404807.67,1.451,667,203,0,717,4,0.763,False,False,True
96,457585.38,1.479,678,192,0,700,4,0.764,False,False,True
97,480519.34,1.533,670,200,0,712,3,0.7647,False,False,True
98,476956.24,1.756,680,190,0,724,2,0.7624,False,False,True
99,426245.83,1.328,691,179,0,765,3,0.7647,False,False,True
100,559727.8,1.631,683,187,0,776,2,0.7641,False,False,True
101,488059.21,1.246,686,184,0,747,4,0.7667,False,False,True
102,698234.86,1.745,688,182,0,750,5,0.7639,False,False,True
103,383317.23,1.235,667,203,0,711,3,0.7656,False,False,True
104,931085.52,1.79,739,131,0,742,3,0.7632,False,False,True
105,597873.98,1.243,691,179,0,762,6,0.766,False,False,True
106,717046.3,1.794,692,178,0,726,1,0.764,False,False,True
107,655417.26,1.744,704,166,0,708,3,0.7665,False,False,True
108,784740.48,1.483,704,166,0,742,3,0.7647,False,False,True
109,437915.99,1.593,688,182,0,788,4,0.7626,False,False,True
