ticker,add_date,add_px,add_dollars,margin_dollars,drew_margin,orig_entry
HAL,2016-02-03,30.75,9698.12,9698.12,True,2016-02-01
AMAT,2016-02-17,16.89,9434.92,9434.92,True,2016-02-01
KLAC,2016-02-19,6.559,9580.86,9580.86,True,2016-02-01
LRCX,2016-02-19,6.952,9580.38,9580.38,True,2016-02-01
TAP,2016-02-24,85.14,9487.02,9487.02,True,2016-02-01
DVN,2016-02-29,20.42,9965.44,9965.44,True,2016-02-01
GILD,2016-03-11,89.97,10439.15,0.0,False,2016-02-16
KR,2016-03-15,38.01,10394.1,0.0,False,2016-03-14
PFE,2016-03-16,29.52,10440.47,0.0,False,2016-03-14
GME,2016-04-05,7.7,10694.49,10694.49,True,2016-03-30
HST,2016-06-02,15.37,11518.59,11518.59,True,2016-04-28
AABA,2016-06-13,36.7,11327.87,5856.24,True,2016-06-03
DAL,2016-06-13,41.59,11327.3,11327.3,True,2016-03-17
C,2016-07-05,41.38,11318.94,11318.94,True,2016-05-24
FAST,2016-08-01,10.695,12193.33,12193.33,True,2016-04-28
FOXA,2016-08-04,26.04,12224.52,12224.52,True,2016-07-14
SBUX,2016-09-27,54.0,12192.54,12192.54,True,2016-08-24
WMT,2016-10-25,23.0033,12553.14,12553.14,True,2016-08-10
PHM,2016-11-17,18.65,13468.99,13468.99,True,2016-08-24
NRG,2016-12-05,11.32,13479.39,13479.39,True,2016-11-29
KO,2016-12-09,41.5,14235.17,14235.17,True,2016-11-29
AMZN,2016-12-13,38.248,14330.42,14330.42,True,2016-10-25
KMI,2016-12-14,21.2,14399.68,10695.38,True,2016-11-10
ABT,2016-12-15,38.76,14175.52,14175.52,True,2016-12-12
QCOM,2017-01-10,65.95,14687.04,14687.04,True,2016-11-23
EXC,2017-02-02,35.44,14390.46,14390.46,True,2017-02-01
BMY,2017-02-07,51.49,14569.15,14569.15,True,2016-12-12
TSCO,2017-03-06,14.478,15083.08,15083.08,True,2017-03-03
T,2017-03-31,41.79,14662.12,14662.12,True,2017-02-21
RIG,2017-05-12,11.07,13861.0,13861.0,True,2017-02-24
GILD,2017-06-05,65.59,13129.88,13129.88,True,2017-02-28
INTC,2017-07-06,34.12,13153.75,13153.75,True,2017-05-26
PFE,2017-07-21,33.47,13391.96,13391.96,True,2017-07-20
SBUX,2017-08-07,55.6,14028.11,14028.11,True,2017-07-28
FAST,2017-08-16,10.68,13711.05,13711.05,True,2017-08-15
NRG,2017-09-21,23.94,14237.49,14237.49,True,2017-09-20
AES,2017-10-04,11.17,14302.75,14302.75,True,2017-08-09
CMG,2017-10-10,6.0842,14441.13,14441.13,True,2017-09-05
CSX,2017-10-16,17.6,14742.45,14742.45,True,2017-08-15
CVS,2017-11-16,70.1,14256.69,14256.69,True,2017-11-14
MU,2018-01-30,41.99,17763.32,17763.32,True,2018-01-18
M,2018-02-13,24.14,16616.91,16616.91,True,2018-01-11
NWL,2018-02-13,27.04,16616.08,16616.08,True,2018-02-08
CELG,2018-02-16,96.01,17630.64,17630.64,True,2018-01-29
PFE,2018-02-21,35.97,17601.78,17601.78,True,2018-01-17
SCHW,2018-02-22,52.69,17480.06,17480.06,True,2018-02-02
EXC,2018-02-23,37.36,17527.4,17527.4,True,2018-02-01
KIM,2018-04-10,14.33,17477.22,17477.22,True,2018-03-01
F,2018-05-01,11.25,17709.12,4193.87,True,2018-04-27
CMCSA,2018-05-16,32.13,18151.32,18151.32,True,2018-04-26
GE,2018-08-06,65.392,19466.62,19466.62,True,2018-08-01
BKNG,2018-08-27,76.5596,19533.73,19533.73,True,2018-06-01
F,2018-08-31,9.64,19650.71,19650.71,True,2018-08-28
FITB,2018-09-10,29.63,19129.44,19129.44,True,2018-08-17
KHC,2018-09-18,57.85,19095.06,19095.06,True,2018-09-13
SO,2018-10-12,43.49,17992.96,17992.96,True,2018-09-07
PFE,2018-10-24,43.81,17538.68,16756.13,True,2018-10-22
KR,2018-10-26,27.77,17325.75,17325.75,True,2018-10-24
BAC,2018-11-02,28.01,18598.75,18598.75,True,2018-10-05
LRCX,2018-11-20,14.024,18668.94,0.0,False,2018-11-02
BMY,2019-01-17,49.16,18657.13,14158.49,True,2018-12-07
CVS,2019-01-25,65.57,18990.31,18990.31,True,2019-01-24
WMT,2019-02-11,31.8833,19326.39,19326.39,True,2019-02-08
AMZN,2019-02-19,80.05,20278.47,20278.47,True,2019-02-06
WY,2019-02-22,25.81,19628.36,19628.36,True,2019-02-21
CNC,2019-04-12,55.32,19973.66,19973.66,True,2019-04-09
ABBV,2019-04-29,80.46,19866.23,19866.23,True,2019-01-22
BA,2019-05-02,375.5,19798.34,19798.34,True,2019-04-22
AMD,2019-05-09,26.7,19498.49,19498.49,True,2019-05-03
CTL,2019-06-03,10.41,19297.33,19297.33,True,2019-03-27
VZ,2019-07-18,57.22,21961.32,21961.32,True,2019-06-20
JNJ,2019-07-31,131.64,22149.78,22149.78,True,2019-07-09
F,2019-08-09,9.54,21611.02,21611.02,True,2019-06-14
AMD,2019-08-15,30.63,20804.78,20804.78,True,2019-06-28
NFLX,2019-09-19,29.156,21953.97,21953.97,True,2019-06-19
MRK,2019-09-24,84.55,21740.67,21740.67,True,2019-09-23
KMI,2019-11-07,20.34,22936.72,22936.72,True,2019-11-04
F,2019-11-08,8.9,22607.41,22607.41,True,2019-11-04
KO,2019-11-19,53.15,23197.55,23197.55,True,2019-10-21
ATVI,2019-11-21,53.95,23016.69,23016.69,True,2019-10-31
PM,2019-12-04,82.46,23156.29,23156.29,True,2019-09-26
TSCO,2020-01-02,18.738,24886.6,24886.6,True,2019-12-06
CVS,2020-02-10,71.55,24842.8,24842.8,True,2019-12-26
USB,2020-02-10,54.44,24841.56,24841.56,True,2019-12-27
BEN,2020-04-09,17.26,18977.4,18392.86,True,2020-02-19
HBAN,2020-04-24,8.1,18225.26,15396.11,True,2020-04-23
AAL,2020-05-04,9.41,19168.11,0.0,False,2020-04-15
BAC,2020-05-20,22.68,21214.64,21214.64,True,2020-05-11
OXY,2020-05-22,14.16,21464.85,21464.85,True,2020-04-24
GILD,2020-06-02,74.37,22068.01,22068.01,True,2020-06-01
CRM,2020-06-12,175.9,24037.32,0.0,False,2020-06-11
NFLX,2020-06-12,42.9,24036.12,17312.63,True,2020-06-10
AMD,2020-06-15,52.58,23585.32,23585.32,True,2020-06-10
WMT,2020-06-24,40.2467,24606.84,24606.84,True,2020-05-18
MU,2020-07-15,50.21,25383.78,25383.78,True,2020-07-01
MRO,2020-07-28,5.54,26790.0,26790.0,True,2020-06-19
TWTR,2020-09-22,40.37,26787.29,26787.29,True,2020-09-21
PEP,2020-09-28,136.04,26762.56,26762.56,True,2020-06-10
ORLY,2020-10-05,30.6513,27432.34,27432.34,True,2020-09-01
XOM,2020-10-15,33.695,27901.43,27901.43,True,2020-07-28
ATVI,2020-11-17,77.52,30731.75,30731.75,True,2020-10-19
GPS,2020-12-10,21.6,32651.93,32651.93,True,2020-06-29
BMY,2021-01-05,61.11,32609.04,32609.04,True,2020-12-16
AMZN,2021-01-14,158.376,35124.54,0.0,False,2020-11-27
MSFT,2021-01-14,215.91,35122.78,0.0,False,2020-11-12
CMCSA,2021-02-01,49.86,35745.05,27664.14,True,2021-01-29
WMT,2021-02-11,48.0467,39179.14,39179.14,True,2021-01-05
CMG,2021-03-03,29.3354,40303.65,40303.65,True,2021-03-02
NFLX,2021-03-17,52.2,42755.79,28582.23,True,2021-03-02
GOOGL,2021-03-30,102.649,42638.0,42638.0,True,2021-03-17
T,2021-04-21,29.96,44907.3,36085.05,True,2021-03-05
F,2021-04-27,12.29,46823.81,38652.96,True,2021-04-06
NKE,2021-05-03,133.37,46824.62,46824.62,True,2021-04-13
APH,2021-05-11,32.84,46178.63,29958.22,True,2021-05-10
EBAY,2021-05-12,59.69,46299.16,46299.16,True,2021-05-11
CSCO,2021-05-13,52.11,45693.16,45693.16,True,2021-05-07
MDT,2021-06-17,124.38,52298.46,52298.46,True,2021-06-16
VZ,2021-08-13,55.7,54669.8,54669.8,True,2021-07-08
KO,2021-09-09,56.18,55179.56,55179.56,True,2021-09-02
INTC,2021-11-10,50.975,54915.5,7270.23,True,2021-11-09
MPC,2021-11-11,65.61,54928.96,54928.96,True,2021-11-10
T,2021-12-09,23.03,51668.41,51668.41,True,2021-09-30
TWTR,2021-12-09,47.21,51665.83,51665.83,True,2021-09-02
LUV,2021-12-30,41.99,53236.62,53236.62,True,2021-12-29
GPS,2022-01-27,17.86,53737.58,0.0,False,2022-01-26
VIAC,2022-01-31,32.692,53778.78,53778.78,True,2021-12-31
XEL,2022-02-02,68.15,55895.39,55895.39,True,2022-01-28
NKE,2022-02-22,141.59,53417.08,53417.08,True,2021-12-30
JNJ,2022-03-02,164.41,54223.69,54223.69,True,2022-01-28
ORCL,2022-03-03,78.96,55194.68,55194.68,True,2021-11-17
HST,2022-03-14,18.21,54020.01,36223.55,True,2022-03-11
CVS,2022-04-12,104.4,56281.36,56281.36,True,2022-04-11
BKR,2022-04-13,36.87,56465.83,56465.83,True,2022-04-11
ATVI,2022-05-09,77.42,53835.98,53835.98,True,2022-03-30
HPE,2022-05-19,15.37,52190.82,28909.5,True,2022-05-10
LVS,2022-05-19,33.27,52188.21,52188.21,True,2022-03-25
CSCO,2022-06-01,45.55,55502.83,55502.83,True,2022-03-16
BMY,2022-06-10,75.4,52309.16,52309.16,True,2022-06-08
F,2022-06-28,12.14,53567.57,53567.57,True,2022-03-23
FCX,2022-07-25,28.54,54321.64,54321.64,True,2022-07-21
MSFT,2022-07-25,260.995,54318.93,54318.93,True,2022-07-21
AAL,2022-08-03,14.2,56142.8,56142.8,True,2022-08-02
UAL,2022-08-03,37.67,56140.0,56140.0,True,2022-08-02
GILD,2022-09-07,63.67,54547.49,54547.49,True,2022-09-02
QCOM,2022-10-28,114.17,55190.33,55190.33,True,2022-08-19
MU,2022-11-04,55.26,52981.25,15627.9,True,2022-08-19
AMZN,2022-11-11,97.88,56743.44,56743.44,True,2022-10-21
AAL,2022-12-06,14.14,54840.98,23580.01,True,2022-11-25
CSX,2022-12-16,31.44,51740.18,51740.18,True,2022-12-13
PCG,2023-01-27,15.87,59231.04,59231.04,True,2023-01-26
EQT,2023-02-17,31.16,59504.65,59504.65,True,2022-11-07
APA,2023-03-08,38.8799,58459.83,58459.83,True,2023-01-20
SCHW,2023-04-14,52.16,56476.79,4656.28,True,2023-02-07
LRCX,2023-04-26,50.325,53824.88,53824.88,True,2023-04-21
WBD,2023-05-10,13.55,55167.12,55167.12,True,2023-02-23
BAC,2023-05-22,28.3,57863.23,57863.23,True,2023-05-18
OXY,2023-05-26,59.12,55853.57,55853.57,True,2023-05-24
KO,2023-07-07,60.31,59655.63,59655.63,True,2023-06-16
ORCL,2023-07-28,116.68,66482.52,0.0,False,2023-07-17
CSX,2023-08-01,33.32,65690.01,65690.01,True,2023-07-31
CCL,2023-08-03,17.57,63663.41,63663.41,True,2023-07-24
AMD,2023-08-10,111.3,62369.88,62369.88,True,2023-08-07
DVN,2023-09-29,49.0,57277.02,57277.02,True,2023-05-25
GM,2023-10-02,32.84,55288.95,55288.95,True,2023-07-25
NCLH,2023-10-02,16.26,55286.19,55286.19,True,2023-07-31
CMG,2023-10-23,36.406,52289.09,52289.09,True,2023-06-22
MRK,2023-11-20,100.97,58488.78,58488.78,True,2023-10-26
WBA,2023-12-06,20.58,61259.33,61259.33,True,2023-11-16
PFE,2023-12-21,27.86,65848.63,65848.63,True,2023-12-01
EXC,2023-12-27,35.56,67373.39,67373.39,True,2023-12-07
T,2023-12-27,16.49,67370.02,67370.02,True,2023-12-20
HPQ,2024-01-10,30.16,66720.71,0.0,False,2024-01-09
AAL,2024-01-23,14.135,66412.44,66412.44,True,2024-01-09
DAL,2024-01-25,39.05,67433.1,67433.1,True,2024-01-09
PARA,2024-02-15,12.66,65421.21,65421.21,True,2024-02-01
CCL,2024-02-29,15.52,65114.17,65114.17,True,2024-02-28
WBD,2024-03-12,9.17,69607.0,69607.0,True,2024-01-03
AMZN,2024-03-19,174.215,67961.29,67961.29,True,2024-03-13
WMT,2024-04-12,60.0,68771.41,68771.41,True,2024-04-11
SBUX,2024-05-15,75.9,70526.67,70526.67,True,2024-04-02
CMG,2024-06-11,62.3256,73337.7,73337.7,True,2024-06-07
MDT,2024-06-11,83.04,73334.03,73334.03,True,2024-06-10
PFE,2024-06-26,27.91,72903.42,72903.42,True,2024-06-25
GEHC,2024-07-10,76.93,75331.9,75331.9,True,2024-05-22
KVUE,2024-07-17,18.27,78656.86,78656.86,True,2024-06-21
NEE,2024-07-24,72.73,78962.05,0.0,False,2024-07-23
MCHP,2024-08-19,80.545,84904.44,84904.44,True,2024-07-23
TSLA,2024-09-09,216.2,83350.83,83350.83,True,2024-08-26
XOM,2024-09-18,114.11,87361.4,87361.4,True,2024-08-30
TJX,2024-10-01,117.5,92050.72,92050.72,True,2024-09-26
VTRS,2024-10-03,11.39,91269.38,26924.85,True,2024-08-29
MRK,2024-10-16,111.0,92189.23,92189.23,True,2024-07-30
NKE,2024-10-16,82.14,92184.62,92184.62,True,2024-09-23
PARA,2024-11-27,10.61,94777.46,94777.46,True,2024-11-26
KO,2024-12-12,63.55,94949.82,94949.82,True,2024-11-26
CCL,2024-12-27,25.41,90996.88,90996.88,True,2024-12-23
KHC,2025-01-27,29.7,93710.19,93710.19,True,2024-12-13
PFE,2025-02-03,26.3,91854.7,91854.7,True,2025-01-28
ENPH,2025-03-12,61.78,94155.73,94155.73,True,2025-03-11
XOM,2025-03-13,108.33,91775.28,91775.28,True,2025-02-05
DOC,2025-03-31,20.32,92744.99,92744.99,True,2025-02-26
MU,2025-04-14,74.67,81035.24,81035.24,True,2025-03-13
BMY,2025-08-12,46.09,85408.38,85408.38,True,2025-07-15
CMCSA,2025-08-15,33.035,87963.74,87963.74,True,2025-07-15
AVGO,2025-09-02,289.34,88429.01,88429.01,True,2025-08-28
AMZN,2025-10-03,223.44,102139.67,102139.67,True,2025-08-15
CAG,2025-10-07,18.77,103791.96,103791.96,True,2025-09-04
CTRA,2025-10-10,23.39,104254.04,104254.04,True,2025-08-27
CRM,2025-10-13,242.89,100555.03,100555.03,True,2025-06-25
CVS,2025-11-18,78.35,99978.8,33351.37,True,2025-11-13
HPE,2025-12-02,22.23,102807.32,102807.32,True,2025-10-29
PCG,2025-12-16,15.32,105698.94,0.0,False,2025-11-06
VICI,2025-12-17,27.9,104481.32,104481.32,True,2025-12-16
VZ,2025-12-30,40.48,106392.04,106392.04,True,2025-12-18
