run,date,equity,n_pos,units,drawn,gross
BASELINE,2016-01-04,100000.0,0,0,0.0,0.0
BASELINE,2016-01-05,100000.0,0,0,0.0,0.0
BASELINE,2016-01-06,100000.0,0,0,0.0,0.0
BASELINE,2016-01-07,100000.0,0,0,0.0,0.0
BASELINE,2016-01-08,100000.0,0,0,0.0,0.0
BASELINE,2016-01-11,100000.0,0,0,0.0,0.0
BASELINE,2016-01-12,100000.0,0,0,0.0,0.0
BASELINE,2016-01-13,100000.0,0,0,0.0,0.0
BASELINE,2016-01-14,100000.0,0,0,0.0,0.0
BASELINE,2016-01-15,100000.0,0,0,0.0,0.0
BASELINE,2016-01-19,100000.0,0,0,0.0,0.0
BASELINE,2016-01-20,100000.0,0,0,0.0,0.0
BASELINE,2016-01-21,100000.0,0,0,0.0,0.0
BASELINE,2016-01-22,100000.0,0,0,0.0,0.0
BASELINE,2016-01-25,100000.0,0,0,0.0,0.0
BASELINE,2016-01-26,100000.0,0,0,0.0,0.0
BASELINE,2016-01-27,100000.0,0,0,0.0,0.0
BASELINE,2016-01-28,100000.0,0,0,0.0,0.0
BASELINE,2016-01-29,100000.0,0,0,0.0,0.0
BASELINE,2016-02-01,100682.42,10,10,0.0,100659.94
BASELINE,2016-02-02,97832.08,10,10,0.0,97809.59
BASELINE,2016-02-03,98890.22,10,10,0.0,98387.36
BASELINE,2016-02-04,98972.39,10,10,0.0,98469.54
BASELINE,2016-02-05,96938.75,10,10,0.0,96435.9
BASELINE,2016-02-08,94212.93,9,9,0.0,83898.61
BASELINE,2016-02-09,93539.51,10,10,0.0,92502.57
BASELINE,2016-02-10,93750.24,10,10,0.0,92713.29
BASELINE,2016-02-11,92265.48,10,10,0.0,91228.54
BASELINE,2016-02-12,94200.46,9,9,0.0,83467.1
BASELINE,2016-02-16,96002.19,10,10,0.0,94774.54
BASELINE,2016-02-17,97698.22,10,10,0.0,96470.57
BASELINE,2016-02-18,97023.26,10,10,0.0,95795.61
BASELINE,2016-02-19,98299.56,10,10,0.0,97440.93
BASELINE,2016-02-22,99578.4,10,10,0.0,98719.77
BASELINE,2016-02-23,98434.26,10,10,0.0,97575.63
BASELINE,2016-02-24,99454.57,9,9,0.0,88702.64
BASELINE,2016-02-25,100781.93,10,10,0.0,99992.43
BASELINE,2016-02-26,100436.95,10,10,0.0,99647.45
BASELINE,2016-02-29,99819.21,10,10,0.0,99610.88
BASELINE,2016-03-01,102765.77,10,10,0.0,102557.44
BASELINE,2016-03-02,102900.61,10,10,0.0,102692.28
BASELINE,2016-03-03,102987.34,10,10,0.0,102777.93
BASELINE,2016-03-04,103073.86,10,10,0.0,102864.46
BASELINE,2016-03-07,103071.19,10,10,0.0,102861.78
BASELINE,2016-03-08,101540.56,10,10,0.0,101331.15
BASELINE,2016-03-09,101966.55,5,5,0.0,50411.5
BASELINE,2016-03-10,102395.43,5,5,0.0,50840.37
BASELINE,2016-03-11,102987.36,5,5,0.0,51432.31
BASELINE,2016-03-14,103446.53,8,8,0.0,82779.38
BASELINE,2016-03-15,103221.53,8,8,0.0,82554.38
BASELINE,2016-03-16,103503.78,8,8,0.0,82836.63
BASELINE,2016-03-17,103958.24,10,10,-0.0,103958.24
BASELINE,2016-03-18,104624.76,10,10,-0.0,104624.76
BASELINE,2016-03-21,105066.41,10,10,-0.0,105066.41
BASELINE,2016-03-22,105122.49,10,10,0.0,105090.26
BASELINE,2016-03-23,104393.16,10,10,0.0,104360.94
BASELINE,2016-03-24,104101.0,9,9,0.0,94688.75
BASELINE,2016-03-28,104228.03,9,9,0.0,94815.78
BASELINE,2016-03-29,105373.51,9,9,0.0,95961.27
BASELINE,2016-03-30,106143.1,10,10,-0.0,106143.1
BASELINE,2016-03-31,105576.38,10,10,-0.0,105576.38
BASELINE,2016-04-01,105978.76,10,10,-0.0,105978.76
BASELINE,2016-04-04,105931.47,10,10,-0.0,105931.47
BASELINE,2016-04-05,105406.4,9,9,0.0,92883.01
BASELINE,2016-04-06,106602.59,8,8,0.0,83532.32
BASELINE,2016-04-07,105754.1,10,10,0.0,103923.04
BASELINE,2016-04-08,106715.56,10,10,0.0,104884.5
BASELINE,2016-04-11,106086.81,10,10,0.0,104255.75
BASELINE,2016-04-12,108159.29,10,10,0.0,106328.23
BASELINE,2016-04-13,109552.62,10,10,0.0,107721.56
BASELINE,2016-04-14,109733.8,10,10,0.0,107902.74
BASELINE,2016-04-15,109464.55,10,10,0.0,107633.49
BASELINE,2016-04-18,110411.13,10,10,0.0,108580.07
BASELINE,2016-04-19,111171.56,10,10,0.0,109340.5
BASELINE,2016-04-20,111487.38,10,10,0.0,109656.32
BASELINE,2016-04-21,110479.13,10,10,0.0,108648.07
BASELINE,2016-04-22,110180.99,10,10,0.0,108349.93
BASELINE,2016-04-25,109727.73,8,8,0.0,86915.78
BASELINE,2016-04-26,109329.59,7,7,0.0,72778.27
BASELINE,2016-04-27,109773.75,7,7,0.0,72951.9
BASELINE,2016-04-28,108997.63,10,10,0.0,105054.11
BASELINE,2016-04-29,107449.78,10,10,0.0,103506.26
BASELINE,2016-05-02,108083.95,10,10,0.0,104140.43
BASELINE,2016-05-03,107195.5,10,10,0.0,103251.98
BASELINE,2016-05-04,106285.69,9,9,0.0,90506.53
BASELINE,2016-05-05,106623.1,9,9,0.0,90843.94
BASELINE,2016-05-06,106746.22,10,10,0.0,101598.69
BASELINE,2016-05-09,107497.88,10,10,0.0,102350.35
BASELINE,2016-05-10,108112.97,10,10,0.0,102965.44
BASELINE,2016-05-11,107162.83,10,10,0.0,102015.31
BASELINE,2016-05-12,106344.46,10,10,0.0,101196.93
BASELINE,2016-05-13,105717.38,10,10,0.0,100569.85
BASELINE,2016-05-16,106485.01,10,10,0.0,101337.49
BASELINE,2016-05-17,105640.19,10,10,0.0,100492.66
BASELINE,2016-05-18,105540.07,10,10,0.0,100392.54
BASELINE,2016-05-19,106330.6,10,10,0.0,101183.07
BASELINE,2016-05-20,107588.75,10,10,0.0,102441.22
BASELINE,2016-05-23,107535.87,10,10,0.0,102388.34
BASELINE,2016-05-24,109287.91,10,10,0.0,104256.18
BASELINE,2016-05-25,109795.89,10,10,0.0,104764.15
BASELINE,2016-05-26,110213.99,10,10,0.0,105182.25
BASELINE,2016-05-27,110888.97,10,10,0.0,105857.23
BASELINE,2016-05-31,111522.04,10,10,0.0,106287.4
BASELINE,2016-06-01,112070.88,10,10,0.0,106836.24
BASELINE,2016-06-02,112096.97,10,10,0.0,106862.33
BASELINE,2016-06-03,111205.43,10,10,0.0,107435.59
BASELINE,2016-06-06,111057.96,10,10,0.0,107288.13
BASELINE,2016-06-07,111725.5,10,10,0.0,107955.67
BASELINE,2016-06-08,111520.62,10,10,0.0,107750.78
BASELINE,2016-06-09,111438.07,10,10,0.0,107668.23
BASELINE,2016-06-10,110188.47,10,10,0.0,105596.42
BASELINE,2016-06-13,109217.18,9,9,0.0,93338.74
BASELINE,2016-06-14,109219.38,9,9,0.0,93340.93
